Treatment,Rep #,Control Y/N,Chl Time in,Chl_time_1,Time Nh4 in,Nh4_time_1,Chl 1,Nh4 1,pH1,Temp 1,Time Chl End,Chl_time_2,Time Nh4 End,Nh4_time_2,Chl_Time_Diff,Nh4_Time_Diff,chl2,Nh4 2,pH2,Temp 2,# of ceriodaphnia,date,,
3,24,Y,1057,10:57:00 AM,1117,11:17:00 AM,0.899,3.1,7.2,20.7,1655,4:55:00 PM,1707,5:07:00 PM,358,350,0.732,3.83,7.4,21.4,0,11_16,,
4,25,N,841,8:41:00 AM,848,8:48:00 AM,21.23,6.06,7.4,20.3,1439,2:39:00 PM,1453,2:53:00 PM,358,365,17.84,6.07,7.4,21.6,66,11_16,,
4,26,N,852,8:52:00 AM,903,9:03:00 AM,21.95,5.61,7.3,20.6,1450,2:50:00 PM,1507,3:07:00 PM,358,364,18.92,6.25,7.4,21.4,45,11_16,,
4,27,N,907,9:07:00 AM,922,9:22:00 AM,22.24,8.76,7.2,20.6,1506,3:06:00 PM,1526,3:26:00 PM,359,364,16,5.96,7.4,21.3,99,11_16,,
4,28,N,923,9:23:00 AM,950,9:50:00 AM,20.35,6.73,7.3,20.5,1522,3:22:00 PM,1537,3:37:00 PM,359,347,19.54,7.14,7.4,21.2,83,11_16,,
4,29,N,1039,10:39:00 AM,1103,11:03:00 AM,21.96,6.6,7.3,20.7,1639,4:39:00 PM,1642,4:42:00 PM,360,339,16.44,6.12,7.4,21.1,58,11_16,,
4,30,Y,1009,10:09:00 AM,1023,10:23:00 AM,22.92,6.21,7.3,20.6,1607,4:07:00 PM,1626,4:26:00 PM,358,363,21.71,7.02,7.4,21.4,0,11_16,,
4,31,Y,1025,10:25:00 AM,1043,10:43:00 AM,22.4,6.12,7.3,20.7,1624,4:24:00 PM,1637,4:37:00 PM,359,354,19.61,6.31,7.4,21.3,0,11_16,,
4,32,Y,1101,11:01:00 AM,1124,11:24:00 AM,20.57,7.08,7.3,20.6,1657,4:57:00 PM,1714,5:14:00 PM,356,350,24.65,6.25,7.5,21.4,0,11_16,,
5,33,N,854,8:54:00 AM,906,9:06:00 AM,3.229,3.11,7.2,20.7,1452,2:52:00 PM,1510,3:10:00 PM,358,364,2.775,3.64,7.3,21.4,71,11_16,,
5,34,N,910,9:10:00 AM,927,9:27:00 AM,3.252,4.29,7.2,20.7,1508,3:08:00 PM,1528,3:28:00 PM,358,361,3.213,3.42,7.3,21.3,70,11_16,,
5,35,N,925,9:25:00 AM,956,9:56:00 AM,3.319,3.25,7.2,20.7,1524,3:24:00 PM,1542,3:42:00 PM,359,346,2.567,3.36,7.4,21.3,68,11_16,,
5,36,N,948,9:48:00 AM,1011,10:11:00 AM,3.411,4.09,7.2,20.5,1545,3:45:00 PM,1603,4:03:00 PM,357,352,3.343,3.59,7.3,21.2,49,11_16,,
5,37,N,1104,11:04:00 AM,1127,11:27:00 AM,3.121,4.11,7.3,20.7,1700,5:00:00 PM,1718,5:18:00 PM,356,351,3.221,3.29,7.4,21.4,97,11_16,,
5,38,Y,843,8:43:00 AM,856,8:56:00 AM,3.446,4.1,7.2,20.3,1445,2:45:00 PM,1456,2:56:00 PM,362,360,3.584,3.73,7.4,21.3,0,11_16,,
5,39,Y,1028,10:28:00 AM,1045,10:45:00 AM,3.195,3.42,7.3,20.6,1627,4:27:00 PM,1641,4:41:00 PM,359,356,3.595,3.7,7.4,21.3,0,11_16,,
5,40,Y,1048,10:48:00 AM,1106,11:06:00 AM,3.307,3.45,7.2,20.6,1641,4:41:00 PM,1652,4:52:00 PM,353,346,4.044,3.13,7.4,21.2,0,11_16,,
1,1,N,,9:53:00 AM,,10:25:00 AM,10.6,4.74,8.6,19.2,,3:50:00 PM,,4:25:00 PM,357,360,9.794,4.67,8.4,20.7,143,12_31,0.806,0.005636364
1,2,N,,10:13:00 AM,,10:45:00 AM,10.21,4.87,8.8,19.1,,4:16:00 PM,,4:36:00 PM,363,351,7.551,4.37,8.5,20.7,35,12_31,,
1,3,N,,10:31:00 AM,,11:00:00 AM,10.2,4.26,8.6,19.1,,4:31:00 PM,,4:50:00 PM,360,350,9.185,4.7,8.6,20.2,109,12_31,,
1,4,N,,11:55:00 AM,,12:40:00 PM,9.664,4.32,8.7,19.1,,5:57:00 PM,,6:34:00 PM,362,354,8.82,3.85,8.5,20.8,211,12_31,,
1,5,N,,12:21:00 PM,,12:59:00 PM,9.697,3.92,8.6,19.2,,6:22:00 PM,,7:02:00 PM,361,363,10.48,4.11,8.5,20.7,80,12_31,,
1,6,Y,,9:33:00 AM,,9:43:00 AM,10.86,7.56,8.4,19.7,,3:30:00 PM,,3:35:00 PM,357,352,10.24,3.86,8.5,21.1,0,12_31,,
1,7,Y,,10:55:00 AM,,11:23:00 AM,9.547,4.36,8.6,19.1,,4:55:00 PM,,5:13:00 PM,360,350,8.979,4.47,8.5,20.6,0,12_31,,
1,8,Y,,11:20:00 AM,,11:47:00 AM,9.174,4.89,8.6,19.2,,5:20:00 PM,,5:38:00 PM,360,351,8.437,4.87,8.5,20.3,0,12_31,,
2,9,N,,10:15:00 AM,,10:52:00 AM,18.29,5.01,8.5,19.1,,4:18:00 PM,,4:40:00 PM,363,348,15.97,4.99,8.6,20.7,59,12_31,,
2,10,N,,10:32:00 AM,,11:04:00 AM,16.62,4.56,8.6,9.1,,4:32:00 PM,,4:57:00 PM,360,353,11.26,4.99,8.7,20.3,35,12_31,,
2,11,N,,10:56:00 AM,,11:26:00 AM,16.69,5.19,8.5,19.2,,4:57:00 PM,,5:20:00 PM,361,354,16.92,5.42,8.8,20.4,35,12_31,,
2,12,N,,11:49:00 AM,,12:21:00 PM,14.88,4.75,8.6,19.1,,5:50:00 PM,,6:12:00 PM,361,351,16.43,4.96,8.5,20.1,30,12_31,,
2,13,N,,12:23:00 PM,,1:02:00 PM,16.39,4.95,8.8,19.1,,6:25:00 PM,,7:12:00 PM,362,370,15,5.21,8.6,20.3,59,12_31,,
2,14,Y,,9:36:00 AM,,9:46:00 AM,17.56,8.36,8.7,19.4,,3:31:00 PM,,3:43:00 PM,355,357,16.92,4.94,8.5,21,0,12_31,,
2,15,Y,,9:45:00 AM,,10:10:00 AM,16.93,5.58,8.6,19.3,,3:44:00 PM,,4:09:00 PM,359,359,13.61,5.04,8.5,20.6,0,12_31,,
2,16,Y,,11:22:00 AM,,11:55:00 AM,16.27,7,8.7,19.1,,5:22:00 PM,,5:47:00 PM,360,352,15.74,6.74,8.5,20.5,0,12_31,,
3,17,N,,9:39:00 AM,,9:56:00 AM,0.685,4.4,8.7,19.3,,3:33:00 PM,,3:50:00 PM,354,354,0.598,3.19,8.4,20.9,92,12_31,,
3,18,N,,10:34:00 AM,,11:08:00 AM,0.824,3.26,8.6,19.2,,4:34:00 PM,,5:02:00 PM,360,354,0.627,3.37,8.5,20.4,113,12_31,,
3,19,N,,10:58:00 AM,,11:31:00 AM,0.696,3.52,8.7,19.2,,4:59:00 PM,,5:24:00 PM,361,353,0.588,3.96,8.6,20.4,108,12_31,,
3,20,N,,12:18:00 PM,,12:44:00 PM,0.675,3.51,8.6,19.2,,6:17:00 PM,,6:41:00 PM,359,357,0.594,3.86,8.5,20.4,119,12_31,,
3,21,N,,11:23:00 AM,,11:57:00 AM,0.658,4.75,8.7,19.1,,5:23:00 PM,,5:51:00 PM,360,354,0.587,4.48,8.6,20.5,76,12_31,,
3,22,Y,,9:47:00 AM,,10:13:00 AM,0.718,4.06,8.6,19.2,,3:45:00 PM,,4:11:00 PM,358,358,0.631,3.44,8.4,20.7,0,12_31,,
3,23,Y,,10:09:00 AM,,10:27:00 AM,0.729,3.76,8.5,19.1,,4:09:00 PM,,4:28:00 PM,360,361,0.548,3.7,8.4,20.6,0,12_31,,
3,24,Y,,11:50:00 AM,,12:22:00 PM,0.645,3.46,8.6,19.2,,5:52:00 PM,,6:14:00 PM,362,352,0.592,3.38,8.5,20.4,0,12_31,,
4,25,N,,9:41:00 AM,,10:04:00 AM,21.99,5.73,8.8,19.3,,3:34:00 PM,,4:01:00 PM,353,357,18.87,5.1,8.5,20.9,96,12_31,,
4,26,N,,9:49:00 AM,,10:15:00 AM,23.04,6.28,8.7,19.3,,3:47:00 PM,,4:20:00 PM,358,365,23.65,5.63,8.5,20.6,32,12_31,,
4,27,N,,11:00:00 AM,,11:41:00 AM,21.76,5.11,8.6,19.2,,5:00:00 PM,,5:34:00 PM,360,353,19.71,5.54,8.6,20.3,64,12_31,,
4,28,N,,11:25:00 AM,,12:07:00 PM,20.3,6.2,8.8,19.2,,5:25:00 PM,,5:58:00 PM,360,351,19.19,6.38,8.8,20.3,34,12_31,,
4,29,N,,12:19:00 PM,,12:47:00 PM,20.33,5.06,8.7,19.1,,6:18:00 PM,,6:48:00 PM,359,361,24.85,4.78,8.5,20.5,30,12_31,,
4,30,Y,,10:10:00 AM,,10:35:00 AM,20.75,6.21,8.5,19.3,,4:12:00 PM,,4:31:00 PM,362,356,23.27,5.28,8.5,20.6,0,12_31,,
4,31,Y,,10:27:00 AM,,10:56:00 AM,20.96,4.98,8.5,19.2,,4:28:00 PM,,4:44:00 PM,361,348,17.35,5.36,8.4,20.2,0,12_31,,
4,32,Y,,11:52:00 AM,,12:32:00 PM,22.01,6.44,8.7,19.1,,5:54:00 PM,,6:24:00 PM,362,352,20.11,6.61,8.6,20.3,0,12_31,,
5,33,N,,9:43:00 AM,,10:07:00 AM,3.454,3.93,8.7,19.2,,3:36:00 PM,,4:04:00 PM,353,357,2.68,3.71,8.4,20.9,169,12_31,,
5,34,N,,9:51:00 AM,,10:21:00 AM,3.561,4.07,8.7,19.3,,3:48:00 PM,,4:24:00 PM,357,363,2.602,3.93,8.4,20.6,103,12_31,,
5,35,N,,10:12:00 AM,,10:40:00 AM,3.454,4.26,8.7,19.2,,4:14:00 PM,,4:33:00 PM,362,353,2.085,3.78,8.4,20.7,93,12_31,,
5,36,N,,11:27:00 AM,,12:14:00 PM,3.178,3.32,8.6,19.2,,5:28:00 PM,,6:07:00 PM,361,353,2.973,3.76,8.6,20.4,63,12_31,,
5,37,N,,11:53:00 AM,,12:34:00 PM,2.924,4.56,8.7,19.1,,5:55:00 PM,,6:31:00 PM,362,357,3.083,4.19,8.6,20.3,70,12_31,,
5,38,Y,,10:29:00 AM,,10:58:00 AM,3.254,3.5,8.8,19.2,,4:30:00 PM,,4:48:00 PM,361,350,2.875,3.97,8.6,20.2,0,12_31,,
5,39,Y,,10:54:00 AM,,11:18:00 AM,2.735,4.13,8.5,19.1,,4:53:00 PM,,5:08:00 PM,359,350,3.01,3.96,8.5,20.5,0,12_31,,
5,40,Y,,12:20:00 PM,,12:57:00 PM,2.866,3.52,8.7,19.1,,6:20:00 PM,,6:55:00 PM,360,358,3.731,3.46,8.5,20.6,0,12_31,,
6,2,N,,8:52,,,52.68,,,21.1,,,,,,,,,,,,,,
6,4,N,,9:00,,,50.75,,,20.7,,,,,,,,,,,,,,
6,6,N,,9:06,,,52.59,,,20.1,,,,,,,,,,,,,,
6,8,Y,,9:19,,,52.44,,,20.1,,,,,,,,,,,,,,
6,10,N,,9:32,,,51.04,,,20.1,,,,,,,,,,,,,,
6,12,N,,9:40,,,49.25,,,20,,,,,,,,,,,,,,
6,14,Y,,9:47,,,49.92,,,20.3,,,,,,,,,,,,,,
6,16,N,,9:56,,,53.37,,,20.4,,,,,,,,,,,,,,
6,18,Y,,10:02,,,52.22,,,20.5,,,,,,,,,,,,,,
6,20,N,,10:09,,,55,,,20.6,,,,,,,,,,,,,,
6,22,N,,10:15,,,51.9,,,20.6,,,,,,,,,,,,,,
7,1,N,,8:48,,,80.24,,,21.6,,,,,,,,,,,,,,
7,3,N,,8:55,,,80.58,,,21.1,,,,,,,,,,,,,,
7,5,Y,,9:03,,,77.62,,,21,,,,,,,,,,,,,,
7,7,N,,9:12,,,81.42,,,20.6,,,,,,,,,,,,,,
7,9,N,,9:23,,,81.69,,,20.8,,,,,,,,,,,,,,
7,11,N,,9:35,,,78.44,,,20.8,,,,,,,,,,,,,,
7,13,Y,,9:43,,,78.8,,,20.9,,,,,,,,,,,,,,
7,15,N,,9:53,,,77.4,,,20.6,,,,,,,,,,,,,,
7,17,N,,9:58,,,78.16,,,20.4,,,,,,,,,,,,,,
7,19,Y,,10:06,,,77.86,,,21,,,,,,,,,,,,,,
7,21,N,,10:12,,,77.49,,,20.9,,,,,,,,,,,,,,
