citation,location,lat,long,exact,collection_year,months,rep,temp,temp_units,feeding_rate,excretion_rate,fecundity,fecundity_standard_error,unit_fec,growth_rate,survival,survival_se,survival_units,food_type,food_amnt,size,size_sd,unit_size,,collected_by,Notes
"Arcifa, Marlene Sofia. ""Zooplankton composition of ten reservoirs in southern Brazil."" Hydrobiologia 113.1 (1984): 137-145.","Paraitinga, Sao paulo state, Brazil",-23.221678,-45.311448,n,,,,,,,,,,,,,,,,,,,,,JW,combined c. cornuta and c.rigaudi
"Azoulay, B., and M. Gophen. ""Feeding habits of larval Mirogrex terraesanctae (Steinitz, 1952) in Lake Kinneret (Israel) I. Field study."" Hydrobiologia 246.3 (1992): 243-249.","lake Kinneret, Israel",32.833086,35.522128,n,,,,,,,,,,,,,,,,,,,,,JW,
"Bessa, Gisele Fernandes, et al. ""Concordance patterns in zooplankton assemblages in the UHE-Luís Eduardo Magalhães reservoir in the Mid-Tocantins river, Tocantins State, Brazil."" Acta Scientiarum. Biological Sciences 33.2 (2011): 179-184.","Luis Eduardo Magalhaes Reservoir, Tocantins State, Brazil",-11.453933,-45.622463,n,,2006-2007,,,,,,,,,,,,,,,,,,,JW,"location not in state listed, but in town listed… confused"
"Biswas, S. ""Cladocerans (Crustacea: Branchiopoda) from Assam and adjacent hill states in North East India."" Rec. zool. Surv. India 76 (1980): 93-113.","Jaipur District, 3 km W of Phullera",26.872303,75.212124,n,,,,,,,,,,,,,,,,,,,,,JW,
"Biswas, S. ""Cladocerans (Crustacea: Branchiopoda) from Assam and adjacent hill states in North East India."" Rec. zool. Surv. India 76 (1980): 93-113.","Dudu Talao, Dudu",26.681303,75.226338,n,,,,,,,,,,,,,,,,,,,,,JW,
"Biswas, S. ""Cladocerans (Crustacea: Branchiopoda) from Assam and adjacent hill states in North East India."" Rec. zool. Surv. India 76 (1980): 93-113.",Julga Lake,26.555561,92.247058,n,,,,,,,,,,,,,,,,,,,,,JW,
"Biswas, S. ""Fauna of Rajasthan, India. Part II. Crustacea: Cladocera."" Rec. zool. Surv. India 63.1-2 (1971): 95-141.","Gauhati, India",26.173638,91.732442,n,,,,,,,,,,,,,,,,,,,,,JW,
"Bricker, Kathryn S., Ladda Wongrat, and John E. Gannon. ""Composition and distribution of crustacean plankton in twelve inland water bodies of Thailand."" Journal of Fisheries and Environment 10 (1978): 1-14.",Thailand- unreported,16.825713,100.265506,n,mid 1970s,,,,,,,,,,,,,,,,,,,,JW,
"Bromley, Heather J. ""A checklist of the Cladocera of Israel and Eastern Sinai."" Hydrobiologia 257.1 (1993): 21-28.","Upper Jordan river, Israel",32.507343,35.560177,n,,,,,,,,,,,,,,,,,,,,,JW,
"Chavhan, R. N. ""Limnological Studies on Talodhi Village Lake of tahsil Chamorshi, District Gadchiroli (MS), India, With Special Respect to Plankton Species Diversity."" (2014).",Talodhi village,20.44338,79.665728,n,2014-2015,,,,,,,,,,,,,,,,,,,,JW,
"CURTIS, BA. ""PRIVATE LIBRARY OF WILLIAM L. PETERS.""",Namibia- unclear,-22.307163,16.770113,n,,,,,,,,,,,,,,,,,,,,,JW,
"Davidson, Norman L., William E. Kelso, and D. Allen Rutherford. ""Characteristics of cladoceran and copepod communities in floodplain habitats of the Atchafalaya River Basin."" Hydrobiologia 435.1-3 (2000): 99-107.",Atchafalaya River Basin,30.35621,-91.610066,n,1994,"May, September",,,,,,,,,,,,,,,,,,,JW,
"Dhua, Tanushree, and A. K. Patra. ""Lunar rhythm in the planktonic biomass of the Nicco Park lake, Bhubaneswar."" Journal of environmental biology 27.4 (2006): 739-744.","Bhubaneswar City, Orissa 20-15N- 85-52 E",20.296965,85.817697,n,2002,,,,,,,,,,,,,,,,,,,,JW,
"Egborge, Austin BM. ""Salinity and the distribution of Cladocera in Warri River, Nigeria."" Hydrobiologia 145.1 (1987): 159-167.",Warri River 5 21' - 6 N 5 24' - 6 21' E,5.666889,5.375028,n,1981-1982,,,,,,,,,,,,,,,,,,,,JW,
"Esteves, Katharina Eichbau. ""Feeding ecology of three Astyanax species (Characidae, Tetragonopterinae) from a floodplain lake of Mogi-Guaçú River, Paraná River basin, Brazil."" Environmental Biology of Fishes 46.1 (1996): 83-101.","Jatai Ecological Station (21 33' and 21 37' S, 47 51' W)",-21.55,-47.85,n,1988,March,,,,,,,,,,,,,,,,,,,JW,
"Ferraz, Hanna Duarte A., Giovanni Guimarães Landa, and Henrique Paprocki. ""Zooplankton of an urban stretch, Itapecerica river, Divinópolis, Minas Gerais, Brazil."" Check List 5.4 (2009): 890-894.","Itapecerica river, Divinopolis, Minas Gerais, Brazil",-20.105381,-44.973977,n,"20,022,003","March, February",,,,,,,,,,,,,,,,,,,JW,
"Hart, Rob C., and Custodio Boane. ""Limnology of southern African coastal lakes—new vistas from Mozambique."" African Journal of Aquatic Science 29.2 (2004): 145-159.","Chidenguele lakes region, South Africa-- Mozambique",-24.926826,34.192259,n,,,,,,,,,,,,,,,,,,,,,,
"Jones, Woodrow H. ""Cladocera of Oklahoma."" Transactions of the American Microscopical Society 77.3 (1958): 243-257.",Oklahoma,35.622325,-97.563128,n,,,,,,,,,,,,,,,,,,,,,,
"Matsumura-Tundisi, T., et al. ""Zooplankton community structure of the lower Xingu River (PA) related to the hydrological cycle."" Brazilian Journal of Biology 75.3 (2015): 47-54.",Xingu River,-6.942445,-52.146558,n,2013-2014,,,,,,,,,,,,,,,,,,,,,
"McKenzie, K. G. ""Entomostraca of Aldabra, with special reference to the genus Heterocypris (Crustacea, Ostracoda)."" Philosophical Transactions of the Royal Society of London. B, Biological Sciences 260.836 (1971): 257-297.",Aldabra,-9.378853,46.35188,n,1968,,,,,,,,,,,,,,,,,,,,,
"Mohammed, A. ""An approach for assessing the suitability of Ceriodaphnia rigaudii as an indigenous tropical toxicity test species."" Toxicological & Environmental Chemistry 91.1 (2009): 79-86.","Valencia, Trinidad",10.653269,-61.199856,n,,,,,,,,2,,days to sexual maturity,,10 to 15,,days,"chlorphll extract, yeast",,0.45,0.03,mm,,,
"Nadai, R., and R. Henry. ""Temporary fragmentation of a marginal lake and its effects on zooplankton community structure and organization."" Brazilian Journal of Biology 69.3 (2009): 819-835.","Coqueiral Lake of Paranapanema River mouth zone into Urumirim Reservoir, Sao paulo, Brazil",-23.830608,-48.308961,n,"2000, 2001",,,,,,,,,,,,,,,,,,,,,
"Paranaguá, M. N., et al. ""Cladocerans (Branchiopoda) of a tropical estuary in Brazil."" Brazilian Journal of Biology 65.1 (2005): 107-115.","7 54' - 8 19'S, 26 42'W, Pernambuco State, Brazil",-8.092648,-35.032992,n,,,,,,,,,,,,,,,,,,,,,,
"Perbiche‐Neves, Gilmar, and Marcos Gomes Nogueira. ""Multi‐dimensional effects on Cladoceran (Crustacea, Anomopoda) assemblages in two cascade reservoirs in Southeast Brazil."" Lakes & Reservoirs: Research & Management 15.2 (2010): 139-152.","Chavantes Reservoir, Brazil",-23.027928,-49.712087,n,,,,,,,,,,,,,,,,,,,,,,
"Perbiche‐Neves, Gilmar, and Marcos Gomes Nogueira. ""Multi‐dimensional effects on Cladoceran (Crustacea, Anomopoda) assemblages in two cascade reservoirs in Southeast Brazil."" Lakes & Reservoirs: Research & Management 15.2 (2010): 139-152.","Salto Grande,Brazil",-22.887831,-49.983713,n,,,,,,,,,,,,,,,,,,,,,,
"Pérez, Liseth, et al. ""Bioindicators of climate and trophic state in lowland and highland aquatic ecosystems of the Northern Neotropics."" Revista de Biología Tropical 61.2 (2013): 603-644.",Yucatan peninsula broad,19.237388,-89.598952,n,,,,,,,,,,,,,,,,,,,,,,
"Prophet, Carl W., and Steve Waite. ""A species list of Cladocera and Copepoda in Kansas."" Transactions of the Kansas Academy of Science (1903) (1974): 42-47.",kansas broad,38.033691,-98.546924,n,,,,,,,,,,,,,,,,,,,,,,
"Prophet, Carl W., Ted F. Andrews, and Clyde E. Goulden. ""Annotated check list of the Cladocera and Copepoda of Lyon County, Kansas."" The Southwestern Naturalist (1959): 185-194.","Lyon county, Kansas",38.469928,-96.093803,n,"19,581,959",,,,,,,,,,,,,,,,,,,,,
"Rabee, Adel M. ""The effect of al-tharthar-euphrates canal on the quantitative and qualitative composition of zooplankton in euphrates River."" Al-Nahrain Journal of Science 13.3 (2010): 120-128.","Euphrates River, Iraq",32.648058,44.237585,n,2009,,,,,,,,,,,,,,,,,,,,,
"Riato, Luisa, Carin Van Ginkel, and Jonathan C. Taylor. ""Zooplankton and diatoms of temporary and permanent freshwater pans in the Mpumalanga Highveld region, South Africa."" African Zoology 49.1 (2014): 113-127.","Mpumalanga Highveld, south africa",-26.486908,29.206858,n,2009,,,,,,,,,,,,,,,,,,,,,in permanent pans
"Rodriguez-Almaraz, Gabino A., and Antonio Leija-Tristan. ""Cladocerans (Branchiopoda: Anomopoda; Ctenopoda) of the Nuevo Leon State, Mexico."" The Southwestern Naturalist 40.3 (1995): 322-324.","Nuevo Leon State, Temporal ponds",26.412361,-100.157259,n,"1982, 1983",,,,,,,,,,,,,,,,,,,,,
"Rumes, Bob, Hilde Eggermont, and Dirk Verschuren. ""Distribution and faunal richness of Cladocera in western Uganda crater lakes."" Hydrobiologia 676.1 (2011): 39.",Uganda lakes broad,1.412623,32.451489,n,"2007, 2008",,,,,,,,,,,,,,,,,,,,,
"Rzoska, J. ""Zooplankton of the Nile system."" The Nile, biology of an ancient river. Springer, Dordrecht, 1976. 333-343.",White Nile,9.408769,31.462525,n,,,,,,,,,,,,,,,,,,,,,,
"Rzoska, J. ""Zooplankton of the Nile system."" The Nile, biology of an ancient river. Springer, Dordrecht, 1976. 333-343.",Blue Nile,12.819836,34.264369,n,,,,,,,,,,,,,,,,,,,,,,
"Rzoska, J. ""Zooplankton of the Nile system."" The Nile, biology of an ancient river. Springer, Dordrecht, 1976. 333-343.",Egypt Nile,24.299086,32.805292,n,,,,,,,,,,,,,,,,,,,,,,
"Salah, M. O. S. T. A. F. A., and G. I. Z. E. L. L. A. Tamas. ""General preliminary contribution to the plankton of Egypt."" Bull. Inst. Oceanography. Fish. Alexandria 1 (1970): 305-337.",egypt broadly,27.3261,30.958175,n,,,,,,,,,,,,,,,,,,,,,,
"Smirnov, N. N. ""Cladocera (Crustacea) from Nicaragua."" Hydrobiologia 160.1 (1988): 63-77.",Backwaterof Rio Escalante ,11.590981,-86.136516,n,1985,,,,,,,,,,,,,,,,,,,,,
"Smirnov, N. N. ""Cladocera (Crustacea) from Nicaragua."" Hydrobiologia 160.1 (1988): 63-77.",Rio Tipitapa,12.180678,-86.034096,n,,,,,,,,,,,,,,,,,,,,,,
"Talling, J. F., and J. Rzoska. ""The development of plankton in relation to hydrological regime in the Blue Nile."" The Journal of Ecology (1967): 637-662.",Blue and White Niles,12.819836,34.264369,n,,,,,,,,,,,,,,,,,,,,,,
"Tho, Nguyen, Roel Merckx, and Vu Ngoc Ut. ""Impacts of saline water irrigation and shrimp pond discharges on the surrounding waters of a coastal district in the Mekong delta of Vietnam."" Environmental earth sciences 71.5 (2014): 2015-2027.","Cai Nuoc, Vietnam",9.038145,105.030763,n,,,,,,,,,,,,,,,,,,,,,,
"Vandekerkhove, Jochen, et al. ""Uncovering hidden species: hatching diapausing eggs for the analysis of cladoceran species richness."" Limnology and Oceanography: Methods 3.9 (2005): 399-407.",Spain,39.788958,-4.352359,n,,,,,,,,,,,,,,,,,,,,,,
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",Mexico,21.925962,-102.496878,n,,,10,20,c,,,2.8,,average clutch size,,56.6,,day,A. falcatus,,456,13,um,,,error bars present but doesn't say what error is..
"RANE, PO. ""Cladocera (Arthropoda: Crustacea)."" Zool. Surv. India, Fauna of Madhya Pradesh (including Chhattisgarh), State Fauna Series 15.Part 3 (2011): 45-83.",Madhya Pradesh broad,23.993005,77.444299,n,,,,,,,,,,,,,,,,,,,,,,
"Sampaio, E. V., et al. ""Composition and abundance of zooplankton in the limnetic zone of seven reservoirs of the Paranapanema River, Brazil."" Brazilian Journal of Biology 62.3 (2002): 525-545.",Piraju,-23.191317,-49.382371,n,1979,,,,,,,,,,,,,,,,,,,,,
"Sampaio, E. V., et al. ""Composition and abundance of zooplankton in the limnetic zone of seven reservoirs of the Paranapanema River, Brazil."" Brazilian Journal of Biology 62.3 (2002): 525-545.",Xavantes,-23.351198,-49.65196,n,1979,,,,,,,,,,,,,,,,,,,,,
"Sampaio, E. V., et al. ""Composition and abundance of zooplankton in the limnetic zone of seven reservoirs of the Paranapanema River, Brazil."" Brazilian Journal of Biology 62.3 (2002): 525-545.","Salto Grande,Brazil",-22.895161,-49.986579,n,1979,,,,,,,,,,,,,,,,,,,,,
"Abdulwahab, Shayma, and Adel M. Rabee. ""Ecological factors affecting the distribution of the zooplankton community in the Tigris River at Baghdad region, Iraq."" The Egyptian Journal of Aquatic Research 41.2 (2015): 187-196.","3314– 33 25 N long 44 31-44 17 E, Baghdad city",33.31667,44.38333,y,2013,all year,,,,,,,,,,,,,,,,,,,JW,
"Bromley, Heather J. ""A checklist of the Cladocera of Israel and Eastern Sinai."" Hydrobiologia 257.1 (1993): 21-28.","Hula Lake, Israel",33.104625,35.609424,y,,,,,,,,,,,,,,,,,,,,,JW,
"Brook, A. J., and J. Rzoska. ""The influence of the Gebel Aulyia dam on the development of Nile plankton."" The Journal of Animal Ecology (1954): 101-114.",Nile south of Khartoum,15.35074,32.498497,y,1951,,,,,,,,,,,,,,,,,,,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",0.030002,30.180348,y,1968-1969,"sept-oct,dec",somewhere between 8 and 25,,,,,2,,mean clutch size,,,,,,,455,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 26,,,,,2.7,,mean clutch size,,,,,,,408,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 27,,,,,2.2,,mean clutch size,,,,,,,465,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 28,,,,,3.2,,mean clutch size,,,,,,,436,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 29,,,,,2.9,,mean clutch size,,,,,,,422,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 30,,,,,2.4,,mean clutch size,,,,,,,366,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 31,,,,,2,,mean clutch size,,,,,,,378.5,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 32,,,,,2.2,,mean clutch size,,,,,,,413,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 33,,,,,1.7,,mean clutch size,,,,,,,329,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 34,,,,,1.7,,mean clutch size,,,,,,,373.5,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 35,,,,,1.6,,mean clutch size,,,,,,,401,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 36,,,,,1.5,,mean clutch size,,,,,,,456,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 37,,,,,2,,mean clutch size,,,,,,,421,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 38,,,,,1.8,,mean clutch size,,,,,,,405,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 39,,,,,2.3,,mean clutch size,,,,,,,372,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 40,,,,,2.1,,mean clutch size,,,,,,,405,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 41,,,,,2.8,,mean clutch size,,,,,,,388,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 42,,,,,2,,mean clutch size,,,,,,,384,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 43,,,,,2.1,,mean clutch size,,,,,,,386,,length um,,JW,
"Burgis, Mary J. ""Observations on the Cladocera of lake George, Uganda."" Journal of Zoology 170.3 (1973): 339-349.","Lake George, Uganda",,,y,1968-1969,"sept-oct,dec",somewhere between 8 and 44,,,,,2,,mean clutch size,,,,,,,,,length um,,JW,
"Caleffi, Sueli. ""Guarapiranga Reservoir: study of the zooplankton community and aspects of its eutrophication."" Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen 26.4 (1998): 1898-1903.","Guaropiranga Reservoirs, Sao Paulo",-23.733023,-46.761155,y,1991-1992,"August, November, Feb, May,July",,,,,,,,,,,,,,,,,,,JW,
"Chandrasekhar, S. V. A., and Tapas Chatterjee. ""Fresh water cladocera of Dhanbad, Jharkhand."" Records of the Zoological Survey of India 103.3-4 (2004): 79.","Dhanbad, 23 47' N and 86 30' E",23.783333,86.5,y,1988,"August, October",,,,,,,,,,,,,,,,,,,JW,
"Combrink, S. ""The zooplankton of Zeekoevlei and Princess Vlei (Western Cape)-a preliminary assessment."" Water SA 20.4 (1994): 299-306.","Little Princess Vlei 34 S 18 30 E, Zeekoevlei  34 S 18 30 E",-34.047436,18.474552,y,1989,,,,,,,,,,,,,,,,,,,,JW,
"Dodson, Stanley I., and Dodson Silva-Briano. ""Crustacean zooplankton species richness and associations in reservoirs and ponds of Aguascalientes State, Mexico."" Hydrobiologia 325.2 (1996): 163-172.","Carretera Calvillo, 102 W 27'24'' N 21 53'26''",21.890725,-102.456667,y,"19,881,989","March, August, October",,,,,,,,,,,,,,,,,,,JW,
"Dolley, John S. ""Preliminary notes on the biology of the St. Joseph River."" American Midland Naturalist (1933): 193-227.","St. Joseph River, South Bend Indiana/ Michigan",41.74369,-86.272159,y,,,,,,,,,,,,,,,,,,,,,JW,
"Dube, Trevor, et al. ""Spatial and temporal variation of invertebrate community structure in flood-controlled tropical floodplain wetlands."" Journal of Freshwater Ecology 32.1 (2017): 1-15.","Phongolo flood plain, 26 90' and 27 25' E and 32 00' and 32 20' S",-32.166465,27.416774,y,2014,"september, december",,,,,,,,,,,,,,,,,,,JW,
"Elías-Gutierrez, Manuel, Alexey A. Kotov, and Tania Garfias-Espejo. ""Cladocera (Crustacea: Ctenopoda, Anomopoda) from southern Mexico, Belize and northern Guatemala, with some biogeographical notes."" Zootaxa 1119.1 (2006): 1-27.","Minicenote, 19 36' 23'' N 87 59' 18'' W",19.606389,-87.988333,y,1997,May,,,,,,,,,,,,,,,,,,,JW,
"Fileto, Claudia, et al. ""Influence of the mineral content of the seston on tropical cladocerans of a marginal lake."" Acta Limnologica Brasiliensia 22.1 (2010): 13-22.",Camargo lake 23 30' 10'' S 48 42' 35'' W,-23.502778,-48.709722,y,2000-2001,,,,,,,,,,,,,,,,,,,,JW,
"Gophen, Moshe. ""Bathymetrical distribution and diurnal migrations of zooplankton in Lake Kinneret (Israel) with particular emphasis on Mesocyclops leuckarti (Claus)."" Hydrobiologia 64.3 (1979): 199-208.","lake Kinneret, Israel",32.833086,35.522128,y,,,,,,,,,,,,,,,,,,,,found in 5-10m depth,JW,
"Green, J. ""Zooplankton of the River Sokoto. The Crustacea."" Proceedings of the Zoological Society of London. Vol. 138. No. 3. Oxford, UK: Blackwell Publishing Ltd, 1962.",River Sokoto,12.674622,4.481068,y,,,,,,,,,,,,,,,,,,,,,JW,
"Gu, Lei, et al. ""Microcystis aeruginosa affects the inducible anti-predator responses of Ceriodaphnia cornuta."" Environmental Pollution (2020): 113952.","Lake Taihu 31 22' 13.548''N, 120 0'16''E, China",31.37043,120.004444,y,,,,,,,,25,2,total offspring,,12,,day,M. aeruginosa,0,,,,,JW,all c. cornuta but likely very close
"Gu, Lei, et al. ""Microcystis aeruginosa affects the inducible anti-predator responses of Ceriodaphnia cornuta."" Environmental Pollution (2020): 113952.","Lake Taihu 31 22' 13.548''N, 120 0'16''E, China",31.37043,120.004444,y,,,,,,,,23,0.6,total offspring,,12,,day,M. aeruginosa,20,,,,,JW,all c. cornuta but likely very close
"Gu, Lei, et al. ""Microcystis aeruginosa affects the inducible anti-predator responses of Ceriodaphnia cornuta."" Environmental Pollution (2020): 113952.","Lake Taihu 31 22' 13.548''N, 120 0'16''E, China",31.37043,120.004444,y,,,,,,,,15,1.7,total offspring,,12,,day,M. aeruginosa,40,,,,,JW,all c. cornuta but likely very close
"Gu, Lei, et al. ""Microcystis aeruginosa affects the inducible anti-predator responses of Ceriodaphnia cornuta."" Environmental Pollution (2020): 113952.","Lake Taihu 31 22' 13.548''N, 120 0'16''E, China",31.37043,120.004444,y,,,,,,,,9,0.8,total offspring,,12,0.3,day,M. aeruginosa,60,,,,,JW,all c. cornuta but likely very close
"Gu, Lei, et al. ""Microcystis aeruginosa affects the inducible anti-predator responses of Ceriodaphnia cornuta."" Environmental Pollution (2020): 113952.","Lake Taihu 31 22' 13.548''N, 120 0'16''E, China",31.37043,120.004444,y,,,,,,,,2.5,0.9,total offspring,,11,0.5,day,M. aeruginosa,80,,,,,JW,all c. cornuta but likely very close
"Gu, Lei, et al. ""Microcystis aeruginosa affects the inducible anti-predator responses of Ceriodaphnia cornuta."" Environmental Pollution (2020): 113952.","Lake Taihu 31 22' 13.548''N, 120 0'16''E, China",31.37043,120.004444,y,,,,,,,,0,0,total offspring,,10,0.8,day,M. aeruginosa,100,,,,,JW,all c. cornuta but likely very close
"Gu, Lei, et al. ""Microcystis aeruginosa affects the inducible anti-predator responses of Ceriodaphnia cornuta."" Environmental Pollution (2020): 113952.","Lake Taihu 31 22' 13.548''N, 120 0'16''E, China",31.37043,120.004444,y,,,,,,,,98.6,3.4,time to first reproduction (h),,,,,M. aeruginosa,0,,,,,JW,all c. cornuta but likely very close
"Gu, Lei, et al. ""Microcystis aeruginosa affects the inducible anti-predator responses of Ceriodaphnia cornuta."" Environmental Pollution (2020): 113952.","Lake Taihu 31 22' 13.548''N, 120 0'16''E, China",31.37043,120.004444,y,,,,,,,,108,1,time to first reproduction (h),,,,,M. aeruginosa,20,,,,,JW,all c. cornuta but likely very close
