Month,Day,Date,treatment,blank_chl,rep,adult_only,time,chl_1,chl_2,water_removed,algae_added,water_added,size_class,clutch,clutch_size,observer,temp,NOTES
Sept,4,Sept_4,75,-0.312,4A,Y,14:49,,76.44,20,26,,,,,JW,22,
Sept,5,Sept_5,75,0.218,4A,Y,9:07,56.7,76.19,,6,,,,,JW,21.8,
Sept,6,Sept_6,75,0.325,4B,N,10:32,60.07,75.35,,4,,,,,JW,22,
Sept,7,Sept_7,75,-0.097,4B,N,9:59,73.64,74.05,,0.5,,J,N,,JW,21.4,
Sept,8,Sept_8,75,0.023,4B,N,11:26,74.45,,,,,J,N,,JW,20.8,
Sept,9,Sept_9,75,0.777,4B,N,11:09,37.85,76.36,,18,,J,N,,JW,21,
Sept,10,Sept_10,75,-0.096,4B,N,9:10,125.3,80.29,25,,25,A,N,,JW,20.9,
Sept,11,Sept_11,75,-0.007,4,Y,8:31,67.63,75.04,,2,,,N,,JW,21.2,
Sept,12,Sept_12,75,0.126,4,Y,12:55,23.29,73.71,,14.5,,,N,,AC,21.8,
Sept,13,Sept_13,75,-0.333,4,N,10:11,76.03,76.03,,,,J,N,,JH,21.8,
Sept,14,Sept_14,75,-0.251,4,N,9:54,77.45,,,,,J,N,,JW,22.1,
Sept,15,Sept_15,75,0.55,4,N,11:12,95.69,72.7,20,6,20,J,N,,JW,22.4,
Sept,16,Sept_16,75,0.524,4,N,10:41,51.17,75,7,6,,A,N,,JW,22.4,
Sept,17,Sept_17,75,-0.051,4,N,8:27,32.72,78.92,15,15,,A,Y,2,JW,22.3,
Sept,18,Sept_18,75,-0.094,4,N,8:36,22.68,77.73,,5,,A,N,,JW,22.4,
Sept,19,Sept_19,75,-0.118,4,N,13:07,16.14,74.91,,15,,A,N,,AC,22.6,
Sept,20,Sept_20,75,0.451,4,N,9:59,35.58,73.7,,12,4,A,Y,7,JH,22.2,
Sept,21,Sept_21,75,-0.049,4,N,9:59,30.64,77.21,11,6,5,A,N,,JW,22.3,
Sept,22,Sept_22,75,0.923,4,N,13:51,33.68,73.85,5,9,,A,Y,29,JW,22.1,
Sept,23,Sept_23,75,-0.234,4,N,13:32,48.48,77.66,7,9,,A,N,,JW,21.5,
Sept,24,Sept_24,75,-0.303,4,N,10:17,36.42,74.66,15,8,8,A,Y,34,JW,21.7,
Sept,25,Sept_25,75,0.248,4,N,10:23,35.94,73.44,10,13,,A,N,,JW,21.8,
Sept,26,Sept_26,75,0.111,4,N,13:01,40.65,74.83,,10,,A,N,,AC,21.7,
Sept,27,Sept_27,75,0.104,4,N,10:59,34.74,74.48,10,20,,A,Y,40,JH,22.5,
Sept,28,Sept_28,75,0.312,4,N,9:46,38.37,75.26,9,12,,A,N,,JW,22,
Sept,29,Sept_29,75,-0.018,4,N,13:28,43.84,79.3,12,7,5,A,N,,JW,21.3,
Sept,30,Sept_30,75,0.065,4,N,12:53,21.79,77.96,,6.5,,A,Y,44,JW,21.5,
Sept,4,Sept_4,3,-0.312,5A,Y,14:50,,3.74,,0.5,1,A,N,,JW,22,
Sept,5,Sept_5,3,0.218,5A,Y,9:11,2.122,3.448,,0.25,,A,N,,JW,21.8,
Sept,6,Sept_6,3,0.325,5A,Y,10:37,3.671,,,,,A,N,,JW,22,
Sept,7,Sept_7,3,-0.097,5A,Y,10:02,2.616,3.56,,0.25,2,A,N,,JW,21.3,
Sept,8,Sept_8,3,0.023,5A,Y,11:32,2.215,3.262,,0.25,6,A,N,,JW,20.9,
Sept,9,Sept_9,3,0.777,5A,Y,11:11,3.942,,,,,A,N,,JW,21,
Sept,10,Sept_10,3,-0.096,5A,Y,9:15,4.725,3.368,,0.25,6,A,N,,JW,20.9,
Sept,11,Sept_11,3,-0.007,5,N,8:35,2.68,3.339,,0.25,,J,N,,JW,21.2,
Sept,12,Sept_12,3,0.126,5,N,13:02,3.088,,,,,J,N,,AC,21.8,
Sept,13,Sept_13,3,-0.333,5,N,10:13,3.575,3.575,,,,J,N,,JH,21.8,
Sept,14,Sept_14,3,-0.251,5,N,9:56,2.954,,,,,J,N,,JW,22,
Sept,15,Sept_15,3,0.55,5,N,11:20,2.426,2.901,,0.25,,J,N,,JW,22.5,
Sept,16,Sept_16,3,0.524,5,N,10:45,2.451,2.934,,0.25,6,A,N,,JW,22.5,
Sept,17,Sept_17,3,-0.051,5,N,8:34,3.236,,,,,A,N,,JW,22,
Sept,18,Sept_18,3,-0.094,5,N,8:37,2.737,2.926,,0.25,6,A,N,,JW,22.4,
Sept,19,Sept_19,3,-0.118,5,N,13:11,5.365,3.668,,,3,A,N,,AC,22.5,
Sept,20,Sept_20,3,0.451,5,N,10:08,2.186,3.462,,0.5,6,A,Y,3,JH,22.1,
Sept,21,Sept_21,3,-0.049,5,N,10:02,3.585,,,,,A,N,,JW,22.2,
Sept,22,Sept_22,3,0.923,5,N,13:55,2.413,3.013,,0.25,,A,N,,JW,22,
Sept,23,Sept_23,3,-0.234,5,N,13:35,3.509,,,,,A,Y,3,JW,21.5,
Sept,24,Sept_24,3,-0.303,5,N,10:21,4.386,,,,,A,N,,JW,21.7,
Sept,25,Sept_25,3,0.248,5,N,10:25,3.729,,,,,A,N,,JW,21.8,
Sept,26,Sept_26,3,0.111,5,N,13:06,4.189,,,,,A,N,,AC,21.7,
Sept,27,Sept_27,3,0.104,5,N,11:04,2.829,,,,,A,N,,JH,22.1,
Sept,28,Sept_28,3,0.312,5,N,9:49,3.931,4.461,,0.5,6,A,N,,JW,21.9,
Sept,29,Sept_29,3,-0.018,5,N,13:29,4.058,,,,,A,N,,JW,21.3,
Sept,30,Sept_30,3,0.065,5,N,13:01,2.836,,,,,A,M,,JW,21.5,
Sept,4,Sept_4,25,-0.312,7A,Y,14:57,,24.12,,7,,,,,JW,22,
Sept,5,Sept_5,25,0.218,7,N,9:16,4.791,26.99,,5,2,J,,,JW,21.9,
Sept,6,Sept_6,25,0.325,7,N,10:43,21.23,26.68,,1,,J,,,JW,22,
Sept,7,Sept_7,25,-0.097,7,N,10:13,29.28,25.72,16,,16,J,N,,JW,21.2,
Sept,8,Sept_8,25,0.023,7,N,11:39,18.25,27.36,,1.5,12,J,N,,JW,20.9,
Sept,9,Sept_9,25,0.777,7,N,11:20,8.408,27.19,,5.5,,J,N,,JW,21,
Sept,10,Sept_10,25,-0.096,7,N,9:46,39.63,28.44,10,,10,A,N,,JW,20.9,
Sept,11,Sept_11,25,-0.007,7,N,8:42,14.65,28.15,8,4,8,A,N,,JW,21.3,
Sept,12,Sept_12,25,0.126,7,N,13:08,6.649,25.87,,4,,A,N,,AC,21.9,
Sept,13,Sept_13,25,-0.333,7,N,10:17,11.92,24.04,,1,,A,Y,5,JH,21.8,
Sept,14,Sept_14,25,-0.251,7,N,10:15,4.417,27.9,,3.25,,A,N,,JW,22.2,
Sept,15,Sept_15,25,0.55,7,N,11:26,8.444,24.62,,5,,A,Y,12,JW,22.4,
Sept,16,Sept_16,25,0.524,7,N,10:31,10.98,24.98,,3,,A,N,,JW,22.5,
Sept,17,Sept_17,25,-0.051,7,N,8:42,11.28,24.01,,5,,A,N,,JW,22.5,
Sept,18,Sept_18,25,-0.094,7,N,8:42,5.154,26.53,7,2.5,7,A,Y,20,JW,22.4,
Sept,19,Sept_19,25,-0.118,7,N,13:20,3.307,26.39,,6,,A,N,,AC,22.4,
Sept,20,Sept_20,25,0.451,7,N,9:35,11.03,26.37,,9,10,A,Y,23,JW,22.3,
Sept,21,Sept_21,25,-0.049,7,N,10:04,9.378,25.83,10,3,10,A,N,,JW,22.2,
Sept,22,Sept_22,25,0.923,7,N,13:57,8.456,26.2,5,3.5,,A,N,,JW,22,
Sept,23,Sept_23,25,-0.234,7,N,13:59,6.44,27.84,,4.5,,A,Y,19,JW,21.5,
Sept,24,Sept_24,25,-0.303,7,N,10:27,8.466,28.16,,3,6,A,N,,JW,21.7,
Sept,25,Sept_25,25,0.248,7,N,10:55,5.696,25.73,5,5,,A,N,,JW,21.8,
Sept,26,Sept_26,25,0.111,7,N,12:45,11.82,28.92,,4,10,A,Y,25,AC,21.6,
Sept,27,Sept_27,25,0.104,7,N,11:05,9.775,24.78,,6,6,A,N,,JH,22,
Sept,28,Sept_28,25,0.312,7,N,9:51,6.928,23.9,4,4,,A,N,,JW,21.9,
Sept,29,Sept_29,25,-0.018,7,N,13:30,2.963,24.89,,2,,A,Y,19,JW,21.3,
Sept,30,Sept_30,25,0.065,7,N,13:24,3.711,28.5,,2.5,,A,N,,JW,21.3,ADULTS MIXED ON SEPT 23RD FROM 6 FOR ~ 10 MIN
Sept,4,Sept_4,75,-0.312,8A,Y,14:57,,75.65,20,26,,A,N,,JW,21.9,
Sept,5,Sept_5,75,0.218,8A,Y,9:21,55.58,75.95,,6,,A,N,,JW,21.8,
Sept,6,Sept_6,75,0.325,8A,Y,10:45,77.18,76.31,,,2,A,N,,JW,21.9,
Sept,7,Sept_7,75,-0.097,8A,Y,10:16,73.71,75.7,,0.5,4,A,N,,JW,21.2,
Sept,8,Sept_8,75,0.023,8A,Y,11:40,75.71,,,,,A,N,,JW,21,
Sept,9,Sept_9,75,0.777,8A,Y,11:22,15.4,78.34,20,,20,A,N,,JW,21,
Sept,10,Sept_10,75,-0.096,8A,Y,9:52,106.4,71.4,20,,20,A,N,,JW,21.1,
Sept,11,Sept_11,75,-0.007,8,N,8:43,42.28,74.27,,10,,J,N,,JW,21.3,
Sept,12,Sept_12,75,0.126,8,N,13:11,21.24,76.39,,10,,J,N,,AC,22,
Sept,13,Sept_13,75,-0.333,8,N,10:23,93.71,77.04,20,,20,J,N,,JH,21.8,
Sept,14,Sept_14,75,-0.251,8,N,10:20,53.84,80.59,20,8,12,A,N,,JW,22.1,
Sept,15,Sept_15,75,0.55,8,N,11:32,37.88,79.54,10,12,,A,N,,JW,22.4,
Sept,16,Sept_16,75,0.524,8,N,10:55,64.92,75.53,5,4,5,A,N,,JW,22.4,
Sept,17,Sept_17,75,-0.051,8,N,8:47,56.71,75.98,10,12,,A,N,,JW,22.3,
Sept,18,Sept_18,75,-0.094,8,N,8:52,25.93,74.51,,5,,A,N,,JW,22.4,
Sept,19,Sept_19,75,-0.118,8,N,13:23,24.21,77.33,,15,,A,N,,AC,22.4,
Sept,20,Sept_20,75,0.451,8,N,10:26,38.55,74.61,,14,,A,N,,JH,22,
Sept,21,Sept_21,75,-0.049,8,N,10:08,34.03,76.64,6,6,,A,N,,JW,22.2,
Sept,22,Sept_22,75,0.923,8,N,13:39,40.44,73.88,9,10,,A,N,,JW,22.1,
Sept,23,Sept_23,75,-0.234,8,N,14:01,31.61,77.6,11,12.5,,A,Y,29,JW,21.6,
Sept,24,Sept_24,75,-0.303,8,N,10:30,22.7,75.74,5,8,,A,N,,JW,21.7,
Sept,25,Sept_25,75,0.248,8,N,10:59,24.15,74.64,14,15,,A,N,,JW,21.8,
Sept,26,Sept_26,75,0.111,8,N,12:47,8.566,75.9,10,16,6,A,Y,42,AC,21.6,
Sept,27,Sept_27,75,0.104,8,N,11:08,45.07,74.19,10,12,,A,N,,JH,21.9,
Sept,28,Sept_28,75,0.312,8,N,9:54,33.74,74.46,9,13,,A,Y,18,JW,21.8,
Sept,29,Sept_29,75,-0.018,8,N,13:39,36.67,75.95,5,5,,A,Y,25,JW,21.5,
Sept,30,Sept_30,75,0.065,8,N,13:27,36.32,74.05,6,4.5,6,A,N,,JW,21.4,
Sept,4,Sept_4,3,-0.312,9A,Y,14:58,,3.438,,0.5,1,A,N,,JW,21.9,
Sept,5,Sept_5,3,0.218,9A,Y,9:24,3.255,,,,,A,N,,JW,21.8,
Sept,6,Sept_6,3,0.325,9A,Y,10:56,5.246,3.659,6,0.5,12,A,N,,JW,22,
Sept,7,Sept_7,3,-0.097,9A,Y,10:19,2.45,2.855,,0.5,,A,N,,JW,21.3,
Sept,8,Sept_8,3,0.023,9A,Y,11:42,3.079,,,,,A,N,,JW,20.9,
Sept,9,Sept_9,3,0.777,9A,Y,11:25,2.778,,,,,A,N,,JW,21.1,
Sept,10,Sept_10,3,-0.096,9,N,9:57,3.69,,,,,A,N,,JW,20.9,
Sept,11,Sept_11,3,-0.007,9,N,8:50,4.353,3.257,,0.25,4,J,N,,JW,21.3,
Sept,12,Sept_12,3,0.126,9,N,13:15,4.137,,,,,J,N,,AC,21.9,
Sept,13,Sept_13,3,-0.333,9,N,10:30,2.478,,,,,J,N,,JH,21.8,
Sept,14,Sept_14,3,-0.251,9,N,10:23,3.968,,,,,J,N,,JW,22.2,
Sept,15,Sept_15,3,0.55,9,N,11:36,2.663,3.922,,0.5,8,J,N,,JW,22.5,
Sept,16,Sept_16,3,0.524,9,N,10:58,2.571,3.824,,0.25,,A,N,,JW,22.4,
Sept,17,Sept_17,3,-0.051,9,N,,5.496,3.358,7,1,7,A,N,,JW,22.4,
Sept,18,Sept_18,3,-0.094,9,N,8:54,2.333,4.12,,0.25,,A,N,,JW,22.4,
Sept,19,Sept_19,3,-0.118,9,N,13:23,5.217,2.417,,,2,A,N,,AC,22,
Sept,20,Sept_20,3,0.451,9,N,10:29,2.282,3.435,,1,12,A,Y,7,JH,222,
Sept,21,Sept_21,3,-0.049,9,N,10:11,3.781,,,,,A,N,,JW,22.3,
Sept,22,Sept_22,3,0.923,9,N,14:03,4.086,,,,,A,N,,JW,21.9,
Sept,23,Sept_23,3,-0.234,9,N,14:05,4.434,2.724,,0.25,2,A,Y,9,JW,21.4,
Sept,24,Sept_24,3,-0.303,9,N,10:33,2.807,,,,,A,N,,JW,21.6,
Sept,25,Sept_25,3,0.248,9,N,11:03,3.069,4.137,,0.5,4,A,N,,JW,21.7,
Sept,26,Sept_26,3,0.111,9,N,13:07,1.124,4.123,,0.5,,A,N,,AC,21.6,
Sept,27,Sept_27,3,0.104,9,N,11:12,3.614,,,,,A,N,,JH,21.9,
Sept,28,Sept_28,3,0.312,9,N,10:01,1.344,4.207,,0.5,,A,N,,JW,21.9,
Sept,29,Sept_29,3,-0.018,9,N,13:35,4.095,2.822,,0.25,6,A,N,,JW,21.2,
Sept,30,Sept_30,3,0.065,9,N,13:30,3.602,,,,,A,N,,JW,21.6,
Sept,4,Sept_4,9,-0.312,10A,Y,14:58,,9.327,,2.25,1,,N,,JW,22,
Sept,5,Sept_5,9,0.218,10,N,9:25,2.462,10.46,,2,4,J,N,,JW,21.8,
Sept,6,Sept_6,9,0.325,10,N,10:58,6.134,10.53,,0.5,2,J,N,,JW,22,
Sept,7,Sept_7,9,-0.097,10,N,10:22,6.43,10.87,,0.5,,J,N,,JW,21.4,
Sept,8,Sept_8,9,0.023,10,N,11:44,8.143,10.21,,0.25,,A,N,,JW,20.9,
Sept,9,Sept_9,9,0.777,10,N,11:28,2.03,9.574,,1.75,,A,N,,JW,21.1,
Sept,10,Sept_10,9,-0.096,10,N,9:59,3.891,10,,1,,A,N,,JW,20.9,
Sept,11,Sept_11,9,-0.007,10,N,8:53,2.615,10.04,,1.5,,A,N,,JW,21.2,
Sept,12,Sept_12,9,0.126,10,N,13:16,1.86,12.17,,2,8,A,Y,7,AC,21.8,
Sept,13,Sept_13,9,-0.333,10,N,10:32,2.225,10.05,,2,10,A,Y,4,JH,21.8,
Sept,14,Sept_14,9,-0.251,10,N,10:24,3.251,10.27,,0.75,,A,Y,1,JW,22.2,
Sept,15,Sept_15,9,0.55,10,N,11:38,2.751,8.876,,2,,A,Y,12,JW,22.5,
Sept,16,Sept_16,9,0.524,10,N,11:00,2.061,11.93,,2,,A,N,,JW,22.5,
Sept,17,Sept_17,9,-0.051,10,N,8:54,2.392,11.28,,3,,A,N,,JW,22.4,
Sept,18,Sept_18,9,-0.094,10,N,8:56,1.225,11.23,,1,,A,Y,11,JW,22.5,
Sept,19,Sept_19,9,-0.118,10,N,13:30,1.172,10.4,,1.5,4,A,N,,AC,22.3,
Sept,20,Sept_20,9,0.451,10,N,10:36,1.715,10.26,,8,8,A,N,,JH,22,
Sept,21,Sept_21,9,-0.049,10,N,10:12,1.433,10.43,,1,,A,Y,9,JW,22.2,
Sept,22,Sept_22,9,0.923,10,N,14:04,1.625,10.15,,2,,A,N,,JW,21.9,
Sept,23,Sept_23,9,-0.234,10,N,14:07,1.7,9.083,,1.75,,A,N,,JW,21.8,
Sept,24,Sept_24,9,-0.303,10,N,10:35,1.692,8.838,,1.25,,A,Y,7,JW,21.7,
Sept,25,Sept_25,9,0.248,10,N,11:05,0.989,11.51,,2.5,1.5,A,N,,JW,21.7,
Sept,26,Sept_26,9,0.111,10,N,13:10,1.627,10.72,,2,,A,N,,AC,21.6,
Sept,27,Sept_27,9,0.104,10,N,11:15,0.992,9.672,5,6,6,A,Y,8,JH,21.9,
Sept,28,Sept_28,9,0.312,10,N,10:04,0.994,9.143,,1.75,,A,N,,JW,21.9,
Sept,29,Sept_29,9,-0.018,10,N,13:39,1.558,10.46,,1,,A,N,,JW,21.2,
Sept,30,Sept_30,9,0.065,10,N,13:31,1.129,10.54,,1,,A,Y,9,JW,21.5,
Sept,4,Sept_4,25,-0.312,11A,Y,14:59,,24.36,,6.5,,A,,,JW,22,
Sept,5,Sept_5,25,0.218,11,N,9:29,6.195,24.18,,4.5,,J,N,,JW,21.9,
Sept,6,Sept_6,25,0.325,11,N,11:05,16.67,26.12,,1.5,8,J,N,,JW,22,
Sept,7,Sept_7,25,-0.097,11,N,10:26,21.18,25.61,,0.5,,J,N,,JW,21.3,
Sept,8,Sept_8,25,0.023,11,N,11:46,24.46,,,,,A,N,,JW,21,
Sept,9,Sept_9,25,0.777,11,N,11:32,4.69,26.46,,6.5,,A,N,,JW,21,
Sept,10,Sept_10,25,-0.096,11,N,10:02,28.38,,,,,A,N,,JW,20.1,
Sept,11,Sept_11,25,-0.007,11,N,8:56,7.9,28.72,,5,,A,N,,JW,21.3,
Sept,12,Sept_12,25,0.126,11,N,13:19,2.574,28.01,,5,,A,Y,12,AC,21.8,
Sept,13,Sept_13,25,-0.333,11,N,10:40,11.18,25.22,,3,,A,N,,JH,21.8,
Sept,14,Sept_14,25,-0.251,11,N,10:29,4.58,27.3,,3.5,,A,Y,1,JW,22.2,
Sept,15,Sept_15,25,0.55,11,N,11:41,3.045,24.51,,8,,A,Y,25,JW,22.5,
Sept,16,Sept_16,25,0.524,11,N,11:05,5.445,24.11,,4,,A,N,,JW,22.5,
Sept,17,Sept_17,25,-0.051,11,N,8:59,4.424,25.04,5,7.5,,A,N,,JW,22.4,
Sept,18,Sept_18,25,-0.094,11,N,9:01,1.666,25.89,,2.25,,A,Y,25,JW,22.5,
Sept,19,Sept_19,25,-0.118,11,N,13:33,2.519,23.54,,6.5,,A,N,,AC,22.4,
Sept,20,Sept_20,25,0.451,11,N,10:39,3.755,25.17,,10,8,A,Y,21,JH,22,
Sept,21,Sept_21,25,-0.049,11,N,10:18,4.718,27.13,,2.25,,A,N,,JW,22.1,
Sept,22,Sept_22,25,0.923,11,N,14:07,5.051,24.6,5,4.5,,A,N,,JW,21.9,
Sept,23,Sept_23,25,-0.234,11,N,14:09,4.242,24.46,,4.5,,A,Y,15,JW,21.7,
Sept,24,Sept_24,25,-0.303,11,N,10:37,4.962,25.62,,3.25,,A,N,,JW,21.7,
Sept,25,Sept_25,25,0.248,11,N,11:07,2.8,26.09,5,6,,A,N,,JW,21.7,
Sept,26,Sept_26,25,0.111,11,N,12:50,3.125,27.1,,7,10,A,Y,20,AC,21.7,
Sept,27,Sept_27,25,0.104,11,N,11:17,8.912,26.12,15,9,11,A,N,,JH,21.9,
Sept,28,Sept_28,25,0.312,11,N,10:06,3.216,26.97,,6,,A,N,,JW,21.9,
Sept,29,Sept_29,25,-0.018,11,N,13:40,2.901,26.85,,3,,A,Y,24,JW,21.6,
Sept,30,Sept_30,25,0.065,11,N,13:33,8.395,25.8,,2.25,,A,N,,JW,21.5,
Sept,4,Sept_4,3,-0.312,13A,Y,15:05,,3.526,,0.5,1,A,N,,JW,22,
Sept,5,Sept_5,3,0.218,13A,Y,9:37,2.431,3.706,,0.5,,A,N,,JW,22.1,
Sept,6,Sept_6,3,0.325,13A,Y,11:11,2.307,3.357,,0.5,,A,N,,JW,22,
Sept,7,Sept_7,3,-0.097,13A,Y,10:31,2.622,2.966,,0.25,2,A,N,,JW,21.4,
Sept,8,Sept_8,3,0.023,13A,Y,11:56,2.649,3.128,,0.25,4,A,N,,JW,20.9,
Sept,9,Sept_9,3,0.777,13A,Y,11:38,3.237,,,,,A,N,,JW,21.1,
Sept,10,Sept_10,3,-0.096,13A,Y,10:28,3.835,3.628,,0.5,6,A,N,,JW,21,
Sept,11,Sept_11,3,-0.007,13,N,9:05,2.775,,,,,J,N,,JW,21.3,
Sept,12,Sept_12,3,0.126,13,N,13:29,4.027,,,,,J,N,,AC,22,
Sept,13,Sept_13,3,-0.333,13,N,10:45,4.677,3.699,,1,15,J,N,,JH,21.9,
Sept,14,Sept_14,3,-0.251,13,N,10:35,2.78,,,,,J,N,,JW,22.2,
Sept,15,Sept_15,3,0.55,13,N,12:11,1.905,3.262,,0.5,,J,N,,JW,22.6,
Sept,16,Sept_16,3,0.524,13,N,11:17,2.788,,,,,J,N,,JW,22,
Sept,17,Sept_17,3,-0.051,13,N,9:27,1.66,3.017,,0.5,,A,N,,JW,22.5,
Sept,18,Sept_18,3,-0.094,13,N,9:11,1.231,2.917,,0.25,4,A,N,,JW,22.4,
Sept,19,Sept_19,3,-0.118,13,N,13:35,1.734,2.999,,0.25,,A,N,,AC,22.3,
Sept,20,Sept_20,3,0.451,13,N,10:47,1.631,3.54,,1,15,A,Y,5,JH,22,
Sept,21,Sept_21,3,-0.049,13,N,10:21,1.662,3.16,,0.25,,A,N,,JW,22.2,
Sept,22,Sept_22,3,0.923,13,N,14:10,1.941,2.867,,0.25,,A,N,,JW,21.9,
Sept,23,Sept_23,3,-0.234,13,N,14:11,2.122,4.194,,0.5,2,A,Y,2,JW,21.5,
