TankNum,Month,Day ,Year,ExptDay,DaphniaC1Adult,DaphniaC1Juv,DaphniaC2Adult,DaphniaC2Juv,DaphniaC3,DaphniaC3Juv,DaphniaC4Adult,DaphniaC4Juv,CerioC1,CerioC2,CerioC3,CerioC4,Invaded (Y/N),Species1,Count1,Species2,Count2,Snails,Liters,Notes,Observer,EnteredBy,CheckedBy
5,January,28,2019,8,10,0,1,0,10,0,6,3,,,,,y,ceriodaphnia,1,ostracod,1,4,1.1,,jw,jw,Ofure
5,January,31,2019,11,2,3,1,2,6,3,2,3,,,,,n,,,,,4,0.95,,jw,jw,Ofure
5,February,4,2019,15,15,30,14,21,4,22,0,17,,,,,y,copepod,1,,,3,0.9,1 dead snail,jw,jw,Ofure
5,February,7,2019,18,6,19,13,29,14,26,10,25,,,,,y,copepod,2,,,2,0.8,,jw,jw,Ofure
5,February,11,2019,22,20,24,19,15,13,11,14,18,,,,,n,,,,,2,0.62,,jw,jw,Ofure
5,February,14,2019,25,22,15,33,15,41,1,33,13,,,,,n,,,,,2,0.62,,jw,jw,Ofure
5,February,18,2019,29,42,21,32,12,40,15,15,15,,,,,y,ostracod,1,,,2,0.58,,jw,jw,Ofure
5,February,21,2019,32,26,12,39,22,28,18,36,20,,,,,n,,,,,2,0.58,,jw,jw,Ofure
5,February,25,2019,36,38,28,28,11,15,20,29,17,,,,,y,copepod,18,,,1,0.56,,jw,jw,Ofure
5,February,28,2019,39,7,6,17,5,5,8,15,12,,,,,n,,,,,1,0.48,,jw,jw,Ofure
6,January,21,2019,1,1,0,1,0,1,0,1,0,,,,,n,,,,,,1,,jw,jw,Ofure
6,January,24,2019,4,1,3,2,1,1,1,0,1,,,,,n,,,,,,0.9,,jw,jw,Ofure
6,January,28,2019,8,1,1,4,0,3,1,6,1,,,,,n,,,,,,0.9,,jw,jw,Ofure
6,January,31,2019,11,1,1,4,2,4,0,2,1,,,,,n,,,,,,0.85,,jw,jw,Ofure
6,February,4,2019,15,5,6,4,11,1,20,2,18,,,,,y,copepod,1,,,,0.85,,jw,jw,Ofure
6,February,7,2019,18,10,18,13,36,4,33,9,25,,,,,n,,,,,,0.8,,jw,jw,Ofure
6,February,11,2019,22,7,36,18,35,18,48,13,23,,,,,n,,,,,,0.7,,jw,jw,Ofure
6,February,14,2019,25,45,23,43,26,53,40,40,31,,,,,n,,,,,,0.68,,jw,jw,Ofure
6,February,18,2019,29,50,73,32,70,20,50,34,47,,,,,n,,,,,,0.64,,jw,jw,Ofure
6,February,21,2019,32,35,70,36,76,31,64,41,76,,,,,n,,,,,,0.68,,jw,jw,Ofure
6,February,25,2019,36,21,43,20,52,18,52,21,36,,,,,n,,,,,,0.68,,jw,jw,Ofure
6,February,28,2019,39,23,14,36,12,50,15,43,17,,,,,n,,,,,,0.68,,jw,jw,Ofure
7,January,21,2019,1,,,,,,,,,6,6,6,6,n,,,,,,1,,jw,jw,Ofure
7,January,24,2019,4,,,,,,,,,8,0,1,1,n,,,,,,0.9,,jw,jw,Ofure
7,January,28,2019,8,,,,,,,,,0,2,0,2,n,,,,,,0.9,,jw,jw,Ofure
7,January,31,2019,11,,,,,,,,,0,1,0,0,n,,,,,,0.85,,jw,jw,Ofure
7,February,4,2019,15,,,,,,,,,0,0,0,0,n,,,,,,0.83,,jw,jw,Ofure
7,February,7,2019,18,,,,,,,,,0,0,0,0,n,,,,,,0.8,,jw,jw,Ofure
7,February,11,2019,22,,,,,,,,,0,0,0,0,n,,,,,,0.68,,jw,jw,Ofure
7,February,14,2019,25,,,,,,,,,0,0,0,0,n,,,,,,0.8,,jw,jw,Ofure
7,February,18,2019,29,,,,,,,,,0,0,0,0,y,daphnia,1,,,,0.62,,jw,jw,Ofure
7,February,21,2019,32,,,,,,,,,0,0,0,0,y,daphnia,2,,,,0.66,,jw,jw,Ofure
7,February,25,2019,36,,,,,,,,,0,0,0,0,n,,,,,,0.64,,jw,jw,Ofure
7,February,28,2019,39,,,,,,,,,0,0,0,0,y,ostracod,1,,,,0.62,,jw,jw,Ofure
8,January,21,2019,1,1,0,1,0,1,0,1,0,,,,,n,,,,,,1,,jw,jw,Ofure
8,January,24,2019,4,0,2,0,0,2,2,1,1,,,,,n,,,,,,1.1,,jw,jw,Ofure
8,January,28,2019,8,7,2,1,0,4,0,7,0,,,,,n,,,,,,1.1,,jw,jw,Ofure
8,January,31,2019,11,5,1,3,0,3,1,6,0,,,,,n,,,,,,1.05,,jw,jw,Ofure
8,February,4,2019,15,4,10,5,19,6,8,3,16,,,,,n,,,,,,0.9,,jw,jw,Ofure
8,February,7,2019,18,3,31,1,26,5,23,5,27,,,,,n,,,,,,0.85,,jw,jw,Ofure
8,February,11,2019,22,18,32,15,29,19,30,14,32,,,,,n,,,,,,0.75,,jw,jw,Ofure
8,February,14,2019,25,36,25,30,31,25,23,17,36,,,,,y,ceriodaphnia,1,,,,0.78,,jw,jw,Ofure
8,February,18,2019,29,41,90,12,35,25,42,26,36,,,,,n,,,,,,0.7,,jw,jw,Ofure
8,February,21,2019,32,12,34,10,28,11,23,16,43,,,,,n,,,,,,0.72,,jw,jw,Ofure
8,February,25,2019,36,12,20,13,26,17,27,9,25,,,,,n,,,,,,0.74,,jw,jw,Ofure
8,February,28,2019,39,16,9,27,17,14,8,18,13,,,,,n,,,,,,0.66,,jw,jw,Ofure
9,January,21,2019,1,1,0,1,0,1,0,1,0,,,,,n,,,,,4,1,,jw,jw,Ofure
9,January,24,2019,4,0,3,0,1,2,1,3,0,,,,,n,,,,,4,1.2,,jw,jw,Ofure
9,January,28,2019,8,3,0,4,0,1,0,1,0,,,,,n,,,,,3,1.15,,jw,jw,Ofure
9,January,31,2019,11,2,5,2,4,1,1,3,2,,,,,n,,,,,3,1.05,,jw,jw,Ofure
9,February,4,2019,15,7,4,0,15,7,15,6,25,,,,,n,,,,,1,1,,jw,jw,Ofure
9,February,7,2019,18,9,12,5,19,3,23,7,19,,,,,n,,,,,1,1,,jw,jw,Ofure
9,February,11,2019,22,11,16,8,6,16,21,5,21,,,,,n,,,,,1,0.94,,jw,jw,Ofure
9,February,14,2019,25,20,33,19,18,26,27,26,22,,,,,n,,,,,1,0.98,,jw,jw,Ofure
9,February,18,2019,29,38,64,45,65,37,62,30,62,,,,,n,,,,,1,0.88,,jw,jw,Ofure
9,February,21,2019,32,22,95,24,104,33,92,43,102,,,,,n,,,,,1,0.9,,jw,jw,Ofure
9,February,25,2019,36,32,86,65,92,34,108,36,101,,,,,n,,,,,1,0.84,,jw,jw,Ofure
9,February,28,2019,39,76,50,82,52,79,54,63,47,,,,,n,,,,,1,0.8,,jw,jw,Ofure
10,January,21,2019,1,1,0,1,0,1,0,1,0,,,,,n,,,,,4,1,,jw,jw,Ofure
10,January,24,2019,4,1,1,2,2,0,1,1,1,,,,,n,,,,,4,1,,jw,jw,Ofure
10,January,28,2019,8,5,1,6,1,2,0,2,0,,,,,n,,,,,3,,,jw,jw,Ofure
10,January,31,2019,11,4,1,0,3,4,2,4,0,,,,,n,,,,,3,0.85,,jw,jw,Ofure
10,February,4,2019,15,5,29,4,23,2,22,6,38,,,,,n,,,,,4,0.9,,jw,jw,Ofure
10,February,7,2019,18,13,41,3,51,9,24,9,45,,,,,n,,,,,3,0.8,,jw,jw,Ofure
10,February,11,2019,22,30,47,29,49,45,42,24,28,,,,,n,,,,,2,0.62,,jw,jw,Ofure
10,February,14,2019,25,14,33,26,38,38,50,33,49,,,,,n,,,,,2,0.8,,jw,jw,Ofure
10,February,18,2019,29,52,95,20,44,22,47,35,46,,,,,n,,,,,2,0.64,,jw,jw,Ofure
10,February,21,2019,32,3,3,8,15,2,8,3,5,,,,,n,,,,,1,0.6,,lkb,jw,Ofure
10,February,25,2019,36,9,4,8,8,4,1,15,7,,,,,n,,,,,1,0.68,,jw,jw,Ofure
10,February,28,2019,39,19,0,10,0,13,1,21,0,,,,,n,,,,,1,0.58,,jw,jw,Ofure
11,January,21,2019,1,,,,,,,,,6,6,6,6,n,,,,,,1,,jw,jw,Ofure
11,January,24,2019,4,,,,,,,,,1,0,2,1,n,,,,,,1.1,,jw,jw,Ofure
11,January,28,2019,8,,,,,,,,,0,0,0,0,n,,,,,,1.1,,jw,jw,Ofure
11,January,31,2019,11,,,,,,,,,0,0,0,0,n,,,,,,1.05,,jw,jw,Ofure
11,February,4,2019,15,,,,,,,,,0,0,0,0,n,,,,,,1,100ml added,jw,jw,Ofure
11,February,7,2019,18,,,,,,,,,0,0,0,0,n,,,,,,,,jw,jw,Ofure
11,February,11,2019,22,,,,,,,,,0,0,0,0,n,,,,,,0.82,,jw,jw,Ofure
11,February,14,2019,25,,,,,,,,,0,0,0,0,n,,,,,,0.9,,jw,jw,Ofure
11,February,18,2019,29,,,,,,,,,0,0,0,0,n,,,,,,0.72,,jw,jw,Ofure
11,February,21,2019,32,,,,,,,,,0,0,0,0,y,copepod,11,daphnia,3,,0.78,,jw,jw,Ofure
11,February,25,2019,36,,,,,,,,,0,0,0,0,y,copepod,28,dapnia,2,,0.7,,jw,jw,Ofure
11,February,28,2019,39,,,,,,,,,0,0,0,0,y,copepod,30,daphna,3,,0.66,,jw,jw,Ofure
12,January,21,2019,1,0.5,0,0.5,0,0.5,0,0.5,0,3,3,3,3,n,,,,,,1,,jw,jw,Ofure
12,January,24,2019,4,0,0,1,0,0,1,1,1,1,2,0,1,n,,,,,,1.2,,jw,jw,Ofure
12,January,28,2019,8,1,0,5,0,0,0,1,1,0,0,0,0,n,,,,,,1.1,,jw,jw,Ofure
12,January,31,2019,11,0,0,1,0,1,0,2,1,0,0,0,0,n,,,,,,1.05,,jw,jw,Ofure
12,February,4,2019,15,4,11,1,10,5,7,2,7,0,0,0,0,n,,,,,,1.05,,jw,jw,Ofure
12,February,7,2019,18,4,13,2,17,4,14,3,21,0,0,0,0,y,copepod,1,,,,,,jw,jw,Ofure
12,February,11,2019,22,19,42,10,31,14,31,9,53,0,0,0,0,n,,,,,,0.97,,jw,jw,Ofure
12,February,14,2019,25,27,60,30,39,45,50,28,58,0,0,0,0,n,,,,,,1,,jw,jw,Ofure
12,February,18,2019,29,50,68,70,128,92,99,54,98,0,0,0,0,n,,,,,,0.8,,jw,jw,Ofure
12,February,21,2019,32,41,86,74,76,82,93,84,92,0,0,0,0,n,,,,,,0.82,,jw,jw,Ofure
12,February,25,2019,36,42,55,52,82,106,98,68,81,0,0,0,0,y, copeopod,1,,,,0.78,,jw,jw,Ofure
12,February,28,2019,39,79,61,75,93,77,60,76,76,0,0,0,0,y,copepod,3,,,,0.78,,jw,jw,Ofure
13,January,21,2019,1,1,0,1,0,1,0,1,0,,,,,n,,,,,,1,,jw,jw,Ofure
13,January,24,2019,4,0,2,0,0,2,0,0,1,,,,,n,,,,,,1.1,,jw,jw,Ofure
13,January,28,2019,8,3,2,4,0,1,0,3,0,,,,,n,,,,,,1.1,,jw,jw,Ofure
13,January,31,2019,11,6,2,4,1,3,12,3,0,,,,,n,,,,,,1.1,,jw,jw,Ofure
13,February,4,2019,15,0,4,1,4,0,11,1,6,,,,,n,,,,,,,,jw,jw,Ofure
13,February,7,2019,18,5,41,9,43,8,25,14,29,,,,,n,,,,,,1,,jw,jw,Ofure
13,February,11,2019,22,17,80,17,82,21,98,4,90,,,,,n,,,,,,0.8,,jw,jw,Ofure
13,February,14,2019,25,37,102,26,82,35,64,43,77,,,,,n,,,,,,0.82,,jw,jw,Ofure
13,February,18,2019,29,39,101,47,107,45,121,16,60,,,,,n,,,,,,0.64,,jw,jw,Ofure
13,February,21,2019,32,25,101,43,69,16,36,20,62,,,,,n,,,,,,0.8,,jw,jw,Ofure
13,February,25,2019,36,16,43,15,35,23,43,13,33,,,,,n,,,,,,0.64,,jw,jw,Ofure
13,February,28,2019,39,23,33,9,28,40,62,22,31,,,,,n,,,,,,0.7,,jw,jw,Ofure
16,January,22,2019,1,0.5,0,0.5,0,0.5,0,0.5,0,3,3,3,3,n,,,,,4,1.25,,jw,jw,Ofure
16,January,25,2019,4,0,0,0,0,1,1,0,1,2,0,1,0,n,,,,,4,,,jw,jw,Ofure
16,January,29,2019,8,0,0,1,0,2,0,0,1,0,0,0,0,n,,,,,3,,,jw,jw,Ofure
16,February,1,2019,11,0,4,1,4,0,1,0,1,0,0,0,0,n,,,,,2,1,1 dead snail? very dark hard to tell,jw,jw,Ofure
16,February,5,2019,15,1,18,1,15,3,12,5,19,0,0,0,0,n,,,,,3,1,,jw,jw,Ofure
16,February,8,2019,18,17,28,14,46,26,26,6,32,0,0,0,0,n,,,,,2,1,,jw,jw,Ofure
16,February,12,2019,22,26,108,31,124,16,116,26,124,0,0,0,0,n,,,,,3,0.84,,jw,jw,Ofure
16,February,15,2019,25,58,159,85,130,88,177,67,158,0,0,0,0,n,,,,,3,0.72,,jw,jw,Ofure
16,February,19,2019,29,111,171,144,198,161,202,164,247,0,0,0,0,n,,,,,3,0.68,,jw,jw,Ofure
16,February,22,2019,32,58,86,69,118,73,133,68,119,0,0,0,0,n,,,,,3,0.68,,jw,jw,Ofure
16,February,26,2019,36,52,25,33,20,37,20,38,24,0,0,0,0,y,ostracod,1,,,3,0.6,,jw,jw,Ofure
16,March,1,2019,40,33,11,31,9,40,14,28,8,0,0,0,0,y,tube,1,,,2,0.5,,jw,jw,Ofure
17,January,22,2019,1,0.5,0,0.5,0,0.5,0,0.5,0,3,3,3,3,n,,,,,4,1,,jw,jw,Ofure
17,January,25,2019,4,2,0,1,0,0,0,0,0,1,3,0,0,n,,,,,4,1.25,,jw,jw,Ofure
17,January,29,2019,8,1,1,1,1,0,1,0,1,0,0,0,0,n,,,,,3,1.25,,jw,jw,Ofure
17,February,1,2019,11,0,0,4,3,2,1,0,3,0,0,0,0,n,,,,,2,1.1,1 snail dead?,jw,jw,Ofure
17,February,5,2019,15,2,12,2,19,4,11,3,19,0,0,0,0,n,,,,,3,1,,jw,jw,Ofure
17,February,8,2019,18,14,36,12,34,9,36,9,34,0,0,0,0,n,,,,,3,1,,jw,jw,Ofure
17,February,12,2019,22,11,128,12,119,17,144,16,131,0,0,0,0,n,,,,,3,0.96,,jw,jw,Ofure
17,February,15,2019,25,41,200,39,139,57,164,44,189,0,0,0,0,n,,,,,1,0.82,1 snail dead,jw,jw,Ofure
17,February,19,2019,29,62,167,77,211,96,237,94,256,0,0,0,0,n,,,,,1,0.8,,jw,jw,Ofure
17,February,22,2019,32,109,198,83,179,89,199,114,167,0,0,0,0,n,,,,,1,0.78,,jw,jw,Ofure
17,February,26,2019,36,97,209,95,144,101,161,75,196,0,0,0,0,n,,,,,1,0.7,,jw,jw,Ofure
17,March,1,2019,40,57,98,88,134,64,68,77,117,0,0,0,0,n,,,,,1,0.6,,jw,jw,Ofure
20,January,25,2019,1,0.5,0,0.5,0,0.5,0,0.5,0,3,3,3,3,n,,,,,,1,,,Ofure,
20,January,29,2019,5,1,1,0,1,1,2,0,1,0,0,0,0,n,,,,,,0.95,,,Ofure,
20,February,1,2019,8,2,0,0,0,4,2,0,0,0,0,0,0,y,copepod,2,ostracod,1,2,0.95,,,Ofure,
20,February,5,2019,12,3,2,2,4,1,3,0,7,0,0,0,0,n,,,ostracod,1,2,0.9,,,Ofure,
20,February,8,2019,15,3,18,2,17,5,24,7,21,0,0,0,0,y,copepod,1,ostracod,2,2,1,,,Ofure,
20,February,12,2019,19,7,27,7,46,5,38,7,33,0,0,0,0,y,copepod,1,,,2,0.75,,,Ofure,
20,February,15,2019,22,13,14,17,32,18,33,17,24,0,0,0,0,n,,,ostracod,2,2,0.68,,,Ofure,
20,February,19,2019,26,26,20,15,26,28,25,16,37,0,0,0,0,y,copepod,5,ostracod,3,2,0.6,,,Ofure,
20,February,22,2019,29,23,19,27,15,19,24,39,24,0,0,0,0,y,copepod,2,ostracod,1,2,0.58,,,Ofure,
20,February,26,2019,33,41,32,40,40,47,43,48,62,0,0,0,0,y,copepod,10,ostracod,7,2,0.56,,,Ofure,
20,March,1,2019,36,59,122,37,128,64,124,79,155,0,0,0,0,y,copepod,6,ostracod,2,2,0.48,,,Ofure,
20,March,5,2019,40,61,233,67,235,95,195,90,170,0,0,0,0,y,copepod,9,ostracod,10,1,0.5,3 snail cases,,Ofure,
21,January,25,2019,1,0.5,0,0.5,0,0.5,0,0.5,0,3,3,3,3,n,,,,,,1,,,Ofure,
21,January,29,2019,5,2,0,0,0,0,0,1,0,0,0,0,0,n,,,,,,0.8,,,Ofure,
21,February,1,2019,8,1,0,0,1,1,1,1,0,0,0,0,0,n,,,,,,0.95,,,Ofure,
21,February,5,2019,12,2,1,1,1,3,1,3,4,0,0,0,0,y,copepod,3,,,,0.9,,,Ofure,
21,February,8,2019,15,9,14,1,9,3,16,8,19,0,0,0,0,y,copepod,8,,,,0.8,,,Ofure,
21,February,12,2019,19,10,52,7,29,7,39,9,43,0,0,0,0,y,copepod,19,ostracod,1,,0.7,,,Ofure,
21,February,15,2019,22,18,42,14,44,16,46,20,47,0,0,0,0,n,,,,,,0.6,,,Ofure,
21,February,19,2019,26,13,55,14,79,17,68,10,52,0,0,0,0,y,copepod,8,,,,0.58,,,Ofure,
21,February,22,2019,29,31,53,18,70,6,48,24,51,0,0,0,0,y,copepod,17,ostracod,1,,0.52,,,Ofure,
21,February,26,2019,33,29,27,23,19,19,27,25,30,0,0,0,0,y,copepod,4,,,,0.52,,,Ofure,
21,March,1,2019,36,43,17,32,15,28,33,40,17,0,0,0,0,y,copepod,5,ostracod,1,,0.42,,,Ofure,
21,March,5,2019,40,83,16,83,13,48,7,64,9,0,0,0,0,y,copepod,17,,,,0.42,,,Ofure,
22,January,25,2019,1,,,,,,,,,6,6,6,6,n,,,,,,1,,,Ofure,
22,January,29,2019,5,,,,,,,,,0,0,0,0,n,,,,,,,removed one ostracod,,Ofure,
22,February,1,2019,8,,,,,,,,,0,0,0,0,n,,,,,,1,remove ostracod,,Ofure,
22,February,5,2019,12,,,,,,,,,0,0,0,0,n,,,,,,1,,,Ofure,
22,February,8,2019,15,,,,,,,,,0,0,0,0,y,copepod,2,,,,1,,,Ofure,
22,February,12,2019,19,,,,,,,,,0,0,0,0,n,,,ostracod,1,,0.8,,,Ofure,
22,February,15,2019,22,,,,,,,,,0,0,0,0,y,copepod,1,ostracod,1,,0.7,1 daphnia,,Ofure,
22,February,19,2019,26,,,,,,,,,0,0,0,0,y,copepod,5,,,,0.7,2 daphnia,,Ofure,
22,February,22,2019,29,,,,,,,,,0,0,0,0,n,,,,,,0.66,1 daphnia,,Ofure,
22,February,26,2019,33,,,,,,,,,0,0,0,0,y,copepod,25,,,,0.56,,,Ofure,
22,March,1,2019,36,,,,,,,,,0,0,0,0,y,copepod,29,,,,0.52,,,Ofure,
22,March,5,2019,40,,,,,,,,,0,0,0,0,y,copepod,42,,,,0.46,,,Ofure,
23,January,25,2019,1,1,0,1,0,1,0,1,0,,,,,n,,,,,4,1,,,Ofure,
23,January,29,2019,5,2,5,2,2,0,2,1,0,,,,,n,,,,,3,1,,,Ofure,
23,February,1,2019,8,4,0,5,1,3,5,6,1,,,,,n,,,,,3,1,,,Ofure,
23,February,5,2019,12,7,19,2,9,4,13,8,5,,,,,n,,,,,2,0.9,,,Ofure,
23,February,8,2019,15,4,33,10,42,10,44,19,38,,,,,y,copepod,1,,,2,0.9,,,Ofure,
23,February,12,2019,19,19,94,17,58,9,84,12,83,,,,,n,,,,,2,0.8,,,Ofure,
23,February,15,2019,22,20,90,16,70,22,82,27,91,,,,,y,copepod,1,,,2,0.64,,,Ofure,
23,February,19,2019,26,4,38,55,100,10,46,50,54,,,,,n,,,,,,,,,Ofure,
23,February,22,2019,29,19,85,9,79,11,67,20,89,,,,,y,copepod,3,,,2,0.62,,,Ofure,
23,February,26,2019,33,55,24,15,42,16,34,20,59,,,,,y,copepod,4,ostracod,1,2,0.68,2 egg mass,,Ofure,
23,March,1,2019,36,6,31,23,90,15,57,10,32,,,,,n,,,,,1,0.57,,,Ofure,
23,March,5,2019,40,27,20,30,18,23,19,23,18,,,,,y,copepod,5,,,0,0.56,,,Ofure,
27,January,25,2019,1,0.5,0,0.5,0,0.5,0,0.5,0,3,3,3,3,n,,,,,,1,,,Ofure,
27,January,29,2019,5,1,0,0,0,0,0,0,0,0,0,0,0,n,,,,,,1.25,,,Ofure,
27,February,1,2019,8,1,0,1,0,1,0,0,0,0,0,0,0,n,,,,,,1.1,,,Ofure,
27,February,5,2019,12,2,3,1,1,0,2,0,3,0,0,0,0,n,,,,,,1,,,Ofure,
27,February,8,2019,15,2,7,2,6,1,6,1,4,0,0,0,0,y,copepod,1,,,,1,,,Ofure,
27,February,12,2019,19,4,21,18,26,7,27,12,25,0,0,0,0,n,,,,,,0.9,,,Ofure,
27,February,15,2019,22,6,31,6,41,12,28,20,23,0,1,0,0,n,,,,,,0.86,,,Ofure,
27,February,19,2019,26,24,59,28,53,30,67,20,66,0,1,0,0,y,copepod,1,ostracod,1,,0.8,,,Ofure,
27,February,22,2019,29,30,42,18,60,34,60,31,57,0,0,0,0,n,,,,,,0.76,,,Ofure,
27,February,26,2019,33,24,38,16,31,19,52,31,63,0,0,0,0,n,,,,,,0.72,,,Ofure,
27,March,1,2019,36,23,29,13,43,20,41,24,42,0,0,0,0,n,,,,,,0.6,,,Ofure,
27,March,5,2019,40,47,32,41,33,32,40,28,27,0,0,0,0,n,,,,,,0.58,,,Ofure,
28,January,25,2019,1,1,0,1,0,1,0,1,0,,,,,n,,,,,,1,,,Ofure,
28,January,29,2019,5,0,0,2,0,0,0,0,0,,,,,n,,,,,3,1,,,Ofure,
