citation,Title,Search,Data Extracted,Data Type,Why N,action?
Lester et al 1988,"Effects of light and temperature on photosynthesis of the nuisance alga Cladophora glomerata (L.) Kutz from Green Bay, Lake Michigan",growth rate,N ,,no rates,
Long et al 2011,"Numerical simulation for impactsof hydrodynamic conditions on algae growth in Chongqing Section of Jialing River, China",growth rate,yes,"Growth rate, death rate",,
Lurling and Van Donk,Zooplankton-induced unicell-colony transformation in Scenedesmus acutus and its effect on growth of herbivore Daphnia,growth rate,N,,data with D. species- and clearance rates,
Mayer et al 2000,"Algal growth inhibition test in filled, closed bottles for volatile and sorptive materials",growth rate,yes,Growth rate,,
Nedbal et al 1996,Microscopic green algae and cyanobacteria in high-frequency intermittent light,growth rate,N,,rates in a graph but not clear what would be control light conditions,
Nyholm 1985,Response variable in algal growth inhibition tests- biomass of growth rate?,growth rate,N,,mathematical discussion,
Nyholm 1976,A mathematical model for microbial growth under limitation by conservative substrates,growth rate,N,,mathematical exploration,
Nyholm 1990,Expression of results from growth inhibition toxicity tests with algae,growth rate,yes,Growth rate,,
Ogawa and Aiba 1981,Bioenergetic analysis of mixotrophic growth in chlorella vulgaris and scenedesmus acutus,growth rate,yes,Growth rate,,
Oswald et al 1953,Algae Symbiosis in oxidation ponds: II growth characteristics of chlorella pyrenoidosa cultured in sewage,growth rate,N,,rate not reported but there is raw data,
Pohl et al 2014,Inhibition of green algae growth by corrole-based photosensitizers,growth rate,yes,Growth rate,,
Pollock et al 2003,Rubisco activase is required for optimal photosynthesis in the green alga Chlamydomonas reinhardtii in a low-co2 atmosphere,growth rate,N,,"mostly about gene expression, , there is a curve with cell number over hours",
Rachlin and Farran 1974,Growth response of the green algae Chlorella vulgaris to selective concentrations of zinc,growth rate,N,,no rates,
Scragg 2006,The effect of phenol on the growth of Chlorella vulgaris and Chlorella VT-1,growth rate,N,,no rates,
Smith and Wiedeman 1964,A new alkaline growth medium for algae,growth rate,N,,no rates,
Sorokin and Krauss 1957,The effects of light intensity on the growth rates of green algae,growth rate,N,,doubling times,
Sorokin and Krauss 1961,Effects of temperature and illuminance on Chlorella growth uncoupled from cell division,growth rate,N,,doubling times,
Tamburic et al 2011,Parameters affecting the growth and hydrogen production of the green alga Chlamydomonas reinhardtii,growth rate,N,,about hydrogen,
Theodorou et al 1990,Effects of phosphorus limitation of respiratory metabolism in the green alga selenastrum minutum,growth rate,yes,Growth rate,,
Wang and Lan 2011,Biomass production and nitrogen and phosphorus removal by the green alga Neochloris oleoabundans in simulated wastewater and secondary municipal wastewater effluent,growth rate,N,,rate not reported but there is raw data,
Wang et al 2012,Nitrogen and phosphorus removal form municipal water by the green alga Chlorella sp,growth rate,N,,rate not reported but there is raw data -- specifically also raw data for NH4,
Wang et al 2010,Cultivation of Green algae chlorella sp in different wastewaters from municipal wastewater treatment plant,growth rate/nitrogen uptake,N,,rates reported at % but there is raw data-- specifically also raw data for NH4 ,
Wong 2000,"Effects of 2,4-D, glyphosate and paraquat on growth, photosynthesis and chlorophyll-a synthesis of Scenedesmus quadricauda Berb 614",growth rate,yes,,,
Xin et al 2010,Growth and nutrient removal properties of a freshwater microalga Scenedesmus sp LXI under different kinds of nitrogen sources,growth rate,yes,Growth rate,"also key points- Scenedesmus grows fastest with NH4, >50mgL inhibit growth (cites Ip et al 1982)",
Yang et al 2011,Mathematical model of chlorella minutissima UTEX2341 growth and lipid production under photoheterotrophic fermentation conditions,growth rate,yes,,also do predict based on model -- lipids,
Yoshida et al 2004,"Evolutionary trade-off between defence against grazing and competitive ability in a simple unicellular alga, Chlorella vulgaris",growth rate,yes,Growth rate,,
Ahn_et_al_2002,Diel rhythm of algal phosphate uptake rates in p-limited cyclostats and simulation of its effect on growth and competition,nitrogen uptake,N,,phosphorus uptake not nitrogen,
Aparicio and Quinones 1991,"Blue light, a positive switch signal for nitrate and nitrite uptake by the green alga Monoraphidium braunii",nitrogen uptake,N,,not ammonium,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,nitrogen uptake,yes,Nitrogen uptake,,
Azuara and Aparicio 1985,Spectral dependence of photoregulation of inorganic nitrogen metabolism in Chlamydomonas reihardii,nitrogen uptake,N,,no rates,
Baker et al 2009,Differences in nitrate uptake among benthic algal assmeblages in a mountain stream,nitrogen uptake,N,,not ammonium,
Beardall et al 1990,"Effectw of nitrogen limitation on uptake of inorganic carbon and specific activity of ribulose-1,5-bisphosphate carboxylase/oxygenase in green microalgae",nitrogen uptake,MAYBE??BE???,,does have growth rates but struggling to figure out which treatments were controls,
Boelee et al 2011,Nitrogen and phosphorus removal form municipal wastewater effluent using microalgal biofilms,nitrogen uptake,N,,not ammonium,
Bongers 1956,Aspects of nitrogen assimilation by cultures of green algae,nitrogen uptake,N, ,"rates not reported but there is raw data--specfically also raw data for NH4 -- in figure 16a, also makes note that nitrogen uptake surpasses the rquirement of normal algae even in saturating light",
Brune et al 2003,Intensification of pond aquaculture and high rate photosynthetic systems,nitrogen uptake,yes,nitrification,,
Bukaveckas 2007,"Effects of channel restoration on water velocity, transient storage, and nutrient uptake in a channelized stream",nitrogen uptake,N,,not ammonium,
Cardinale 2011,Biodiversity improves water quality through niche partitioning,nitrogen uptake,N,,not ammonium,rates of uptake by mixed culture greater than the monoculture of the single most efficient species-- wonder how diatom alone/chlorophyte alone or mixed changes things- not reported
Choi et al 2010,Nitrifying bacterial growth inhibition in the presence of algae and cyanobacteria,nitrogen uptake,N,,not about uptake,
Chu et al 2013,Phosphorus plays an important role in enhancing biodiesel productivity of Chlorella vulgaris under nitrogen deficiency,nitrogen uptake,N,,not ammonium,there are growth curves
Cohen and Fong 2004,Nitrogen uptake and assimilation in Enteromorpha intestinalis (L.) Link (Chlorophyta): using 15N to determine preference during simultaneous pulses of nitrate and ammonium,nitrogen uptake,N,,estuarine species,but does have raw nh4 uptake data
Cordoba et al 1986,Kinetic characterization of nitrite uptake and reduction by chlamydomonas reinhardtii,nitrogen uptake,N,,not ammonium,
Dodds et al 2000,Quantification of the nitrogen cycle in a prairie stream,nitrogen uptake,yes,nitrification,,
Dodds et al 2004,Carbon and nitrogen stoichiometry and nitrogen cycling rates in streams,nitrogen uptake,N,,data from other papers: all data is n specific uptake (rate of n uptake/n biomass),
Elrifi et al 1988,RuBP Limitation of Photosynthetic Carbon fixation during NH3 assimilation,nitrogen uptake,yes,Nitrogen uptake,,
Eppley et al 1971,"Phytoplankton growth and composition in shipboard cultures supplied with nitrate, ammonium, or urea as the nitrogen source",nitrogen uptake,N,,marine,
Flynn 1991,Algal carbon-nitrogen metabolism: a biochemical basis for modelling the interactions between nitrate and ammonium uptake,nitrogen uptake,N,,data from other papers,"suggests:  Raven 1980, Syrett 1981, 1988 and Wheeler 1983"
Fujita et al 1989,Assessment of macroalgal nitrogen limitation in a seasonal upwelling region,nitrogen uptake,N,,intertidal,
Gilbert et al 2016,"Pluses and minuses of ammonium and nitrate uptake and assimilation by phytoplankton and implications for productivity and community composition, with emphasis on nitrogen-enriched conditions",nitrogen uptake,N,,marine,
Grimm 1988,"Feeding dynamics, nitrogen budgets, and ecosystem role of a desert stream omnivore, Agosia chrysogaster",nitrogen uptake,N,,fish,
Grover 1989,Influence of cell shape and size on algal competitive ability,nitrogen uptake,N,,data from other papers,see: Gotham and Rhee 1981
Hoffman 1998,Wastewater treatment with suspended and nonsuspended algae,nitrogen uptake,N,,data from other papers,
Jimenez-Perez et al 2004,Growth and nutrient removal in free and immobilized planktonic green algae isolated from pig manure,nitrogen uptake,yes,Nitrogen uptake,,
Kamalanathan et al 2016,Impacts of nitrogen and phosphorus starvation on the physiology of Chlamydomonas reinhardtii,nitrogen uptake,yes,Growth rate,,
Kang et al 2006,Astaxanthin biosynthesis from simultaneous N and P uptake by the green alga haematococcus pluvialis in primary-treated wastewater,nitrogen uptake,N,,raw data available for growth rate,
Kapdan and Aslan 2008,Application of the Stover-Kincannon kinetic model to nitrogen removal by Chlorella vulgaris in a continuously operated immobilized photobioreactor system,nitrogen uptake,yes,"Half saturation, max uptake",,
Kemps and Dodds,"The influence of ammonium, nitrate, and dissolved oxygen concentrations on uptake, nitrification, and denitrification rates associated with prairie stream substrata",nitrogen uptake,yes,"nitrification, half saturation, max uptake",,
Kim et al 2013,Removal of nitrogen and phosphorus by Chlorella sorokiniana cultured heterotrophically in ammonia and nitrate,nitrogen uptake,yes,Nitrogen uptake,,
Liu and Vyverman 2015,"Differences in nutrient uptake capacity of the benthic filamentous algae Cladophora sp., Klebsormidium sp.  and Pseudanabaena sp. under varying N/P conditions",nitrogen uptake,N,,not ammonium- -there are growth rates but all filamentous which isn't first choice,
McAuley 1986,Uptake of Amino acids by cultured and freshly isolated symbiotic chlorella,nitrogen uptake,N,,symbiosis with hydra,
McAuley 1987,Nitrogen limitation and amino acid metabolism of Chlorella symbiotic with green alga,nitrogen uptake,N,,symbiosis with hydra,
Nielson et al 1996,Scaling maximum growth rates across photsynthetic organisms,nitrogen uptake,N,,synthesis and only growth rates,
Niyogi et al 2004,Land use and stream ecosystem functioning: nutrient uptake in streams that contrast in agricultural development,nitrogen uptake,N,,not ammonium,
North and Stephens,Uptake and assimilation of amino acids by platymonas,nitrogen uptake,N,,"glycine rates, has cell N content, and raw data growth curves",
Nyholm and Kallquist 1989,Methods for growth inhibition toxicity tests with freshwater algae,nitrogen uptake,N,,experimental design,
Park et al 2010,Ammonia removal from anaerobic digestion effluent of livestock waste using green alga Scenedesmus sp,nitrogen uptake,yes,"Nitrogen uptake, growth rate",,
Piedras et al 1998,Uptake and metabolism of allantoin and allontoate by cells of Chlamydomonas reinhardtii (Chlorophyceae),nitrogen uptake,N,,allantoinase activity,
Perez-Martinez et al 2010,Utilization of immobilized benthic algal species for N and P removal,nitrogen uptake,yes,Nitrogen uptake,,
Philipps et al 2012,Nitrogen deprivation results in photosynthetic hydrogen production in Chlamydomonas reinhardtii,nitrogen uptake,N,,no rates of nitrogen,
Pinowska 2002,Effects of snail grazing and nutrient release on growth of the macrophytes Ceratophyllum demersum and Elodea canadensis and the filamentous green alga Cladophora sp,nitrogen uptake,N ,,snails!,
Radmer and Ollinger 1980,"Light-driven uptake of oxygen, carbon dioxide, and bicarbonate by the green alga scenedesmus",nitrogen uptake,N,,oxygen uptake,
Ricketts 1987,Homeostasis in nitrogenous uptake/assimilation by the green alga platymonas (tetraselmis) striata (prasinophyceae),nitrogen uptake,N,,marine diatoms,
Ruiz et al 2011,Effect of nitrogen and phosphorus concentration on their removal kinetic in treated urban wasterwater by chlorella vulgaris,nitrogen uptake,N,,complex model,
Ruiz-Marin et al 2010,Growth and nutrient removal in free and immobilized green algae in batch and semi-continuous cultures treating real wastewater,nitrogen uptake,yes,Nitrogen uptake,,
Sattayatewa et al 2009,Organic nitrogen transformations in a 4-stage Bardenpho nitrogen removal plant and bioavailability/biodegradability of effluent DON,nitrogen uptake,N,,not rates,
Schlee and Komor 1986,Ammonium uptake by Chlorella,nitrogen uptake,yes,"Half saturation, max uptake",,
Tam and Wong 1996,Effect of ammonia concentrations on growth of chlorella vulgaris and nitrogen removal from media,nitrogen uptake,yes,"Growth rate, nitrogen efficiency",,
Thomas et al 1976,The interaction of nitrogen assimilation with photosynthesis in nitrogen deficient cells of chlorella,nitrogen uptake,N,,not ammonium,
Shaker et al 2015,Treating urban wastewater: nutrient removal by using immobilized green algae in batch cultures,nitrogen uptake,N,,not ammonium,
Tyler and McGlathery 2003,Benthic algae control sediment-water column fluxes of organic and inorganic nitrogen compounds in a temperate lagoon,nitrogen uptake,N ,,not fluxes based on algae,
Ullrich et al 1998,Nitrate uptake and extracellular alkalinization by the green alga Hydrodictyon reticulatum in blue and red light,nitrogen uptake,N,,not ammonium,
Whalen and Alexander 1984,Influence of temperature and light on rates of inorganic nitrogen transport by algae in an arctic lake,nitrogen uptake,N,,not usable rates,
Wirtz and Pahlow 2010,Dynamic chlorophyll and ntirogen:carbon regulation in algae optimizes instantaneous growth rate,nitrogen uptake,N,,diatoms,
Xenopoulos et al 2002,Joint effects of UV radiation and phosphorus supply on algal growth rate and elemental composition,nitrogen uptake,N,,diatoms mostly,
Xin et al 2010,"Effects of different nitrogen and phosphorus concentrations on the growth, nutrient uptake, and lipid accumulation of a freshwater microalga Scenedesmus sp.",nitrogen uptake,yes,Growth rate,,
Nurdogan and Oswald 1995,Enhanced nutrient removal in high-rate ponds,nitrogen uptake,N,,no rates,
Young and Beardall 2003,Photosynthetic function in Dunaliella tertiolecta (chlorophyta) during a nitrogen starvation and recovery cycle,nitrogen uptake,N,,recovery from nitrogen starvation,
Young and Beardall 2003,Rapid ammonium and nitrate induced perturbations to chl a fluorescence in nitrogen-stressed dunaliella tertiolecta (chlorophyta),nitrogen uptake,N,,flourescence responses,
Zhang et al 2008,Ammonia-nitrogen and orthophosphate removal by immobilized Scenedesmus sp isolated from municipal wastewater for potential use in tertiary treatment,nitrogen uptake,N,,not rates but raw data-- including nh4 raw data,
Bastviken et al 2003,Potential nitrification and denitrification on different surfaces in a constructed treatment wetland,ammonium loss,yes,nitrification,,
Beman et al 2011,Global declines in oceanic nitrification rates as a consequence of ocean acidification,ammonium loss,N,,ocean,
Brune and Gunther 1981,The design of a new high rate nitrification filter for aquaculture water reuse,ammonium loss,N,,about different filters,
Butturini et al 1999,Nitrification in stream sediment biofilms: the role of ammonium concentration and doc quality,ammonium loss,N,,no rates? But data is confusing,
Carrera et al 2004,Effect of influent COD/N ratio on biological nitrogen removal (BNR) from high-strength ammonium industrial wastewater,ammonium loss,yes,nitrification,,
Chen et al 2013,Removal of nitrogen from wastewater with perennial ryegrass/artificial aquatic mats biolfilm combined system,ammonium loss,N,,no rates and in ryegrass,
Chen et al 2010,Adverse effects of ammonia on nitrification process: the case of chinese shallow freshwater lakes,ammonium loss,yes,nitrification,,
Damashek et al 2015,Benthic ammonia oxidizers differ in community structure and biogeochemical potential across a riverine delta,ammonium loss,yes,nitrification,,
Dong and Reddy 2012,Ammonia-oxidizing bacterial community and nitrification rates in constructed wetlands treating swine wastewater,ammonium loss,N,,in soil,
Ebeling et al 2006,"Engineering analysis of the stoichiometry of photoautotrophic, autrophic, and heterotrophic removal of ammonia-nitrogen in aquaculture systems",ammonium loss,N,,data from elsewhere,
Eighmy and Bishop 1989,Distribution and role of bacterial nitrifying populations in nitrogen removal in aquatic treatment systems,ammonium loss,N,,not rates,
Fennel et al 2009,Modeling denitrification in aquatic sediments,ammonium loss,,,,
"Knops, Altenburger, Segner","Alterations of physiological energetics, growth and reproduction of Daphnia magna under toxicant stress",daphnia magna,yes,reproduction,,
