OTU,Cluster,IndVal,Prob,Domain,Phylum,Class,Order,Family,Genus
Otu00057,3,0.619240206,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00267,3,0.577219867,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Nisaea
Otu00034,3,0.559156471,0.001,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu00077,3,0.55619091,0.001,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriales_unclassified,Flavobacteriales_unclassified
Otu00102,3,0.539133079,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassobaculum
Otu00098,3,0.532861302,0.005,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu00027,3,0.523128003,0.01,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu00046,3,0.515191184,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00138,3,0.493508571,0.017,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00128,3,0.490023295,0.004,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
Otu00308,3,0.482758782,0.002,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flammeovirgaceae,Flammeovirgaceae_unclassified
Otu00075,3,0.479170352,0.004,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Haliea
Otu00119,3,0.470532276,0.003,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
Otu00014,3,0.467364863,0.003,Bacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified
Otu00011,3,0.460433166,0.019,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu00147,3,0.458094976,0.033,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
Otu00012,3,0.445259558,0.044,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter
Otu00005,3,0.439038146,0.004,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu00076,3,0.43755919,0.01,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified
Otu00286,3,0.436297723,0.027,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
Otu00179,3,0.434531353,0.024,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
Otu00072,3,0.432729162,0.002,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas
Otu00001,3,0.422122559,0.037,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacteriaceae_unclassified
Otu00081,3,0.417364674,0.014,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu00195,3,0.407186699,0.038,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00092,3,0.404590847,0.002,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu00315,3,0.399783196,0.033,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flammeovirgaceae,Flammeovirgaceae_unclassified
Otu00039,3,0.398303139,0.006,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu00062,3,0.376761431,0.009,Bacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified
Otu00445,3,0.281765882,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Caenispirillum
Otu00405,3,0.278627625,0.015,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,Spartobacteria_genera_incertae_sedis
Otu00110,4,0.869531286,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00375,4,0.86861146,0.001,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Haliea
Otu00220,4,0.855654108,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00221,4,0.846700765,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
Otu00241,4,0.822833492,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00010,4,0.779303954,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00287,4,0.778516225,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
Otu00316,4,0.767291267,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu00205,4,0.758814119,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella
Otu00207,4,0.757128424,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00249,4,0.751878269,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00055,4,0.743270201,0.001,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Haliea
Otu00101,4,0.713922922,0.001,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
Otu00272,4,0.69009996,0.001,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriales_unclassified,Flavobacteriales_unclassified
Otu00168,4,0.680081625,0.001,Bacteria,Actinobacteria,Actinobacteria,Nitriliruptorales,Nitriliruptoraceae,Nitriliruptor
Otu00208,4,0.642007461,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00136,4,0.630399388,0.002,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Rhodopirellula
Otu00184,4,0.629074291,0.001,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified
Otu00125,4,0.628136343,0.001,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu00068,4,0.62211235,0.001,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobiaceae_unclassified
Otu00161,4,0.619142471,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu00149,4,0.617889672,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu00180,4,0.614919058,0.001,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula
Otu00310,4,0.61314365,0.001,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified
Otu00252,4,0.612008647,0.001,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu00335,4,0.611965768,0.001,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified
Otu00283,4,0.60793161,0.001,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified
Otu00124,4,0.604203662,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacteraceae_unclassified
Otu00197,4,0.591570901,0.001,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu00171,4,0.573852271,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
Otu00215,4,0.563232741,0.002,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu00173,4,0.560702632,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00306,4,0.556926967,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00276,4,0.551345741,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacteriaceae_unclassified
Otu00064,4,0.54846888,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu00403,4,0.546756739,0.001,Bacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified
Otu00035,4,0.53255311,0.006,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella
Otu00080,4,0.523587719,0.002,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Saprospiraceae,Saprospiraceae_unclassified
Otu00452,4,0.521407474,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00047,4,0.514754147,0.003,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu00029,4,0.50623575,0.006,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita
Otu00106,4,0.490086063,0.001,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu00385,4,0.485050276,0.001,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonadaceae_unclassified
Otu00231,4,0.47155609,0.001,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Saprospiraceae,Saprospiraceae_unclassified
Otu00265,4,0.468771174,0.003,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter
Otu00263,4,0.457839598,0.012,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified
Otu00094,4,0.457328081,0.002,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified
Otu00063,4,0.437530589,0.013,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00395,4,0.434555606,0.001,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu00213,4,0.414489181,0.015,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
Otu00209,4,0.414174751,0.024,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
Otu00085,4,0.395066679,0.036,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00300,4,0.367274831,0.006,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Kordia
Otu00383,4,0.345416564,0.002,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu00185,4,0.32939413,0.006,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00415,4,0.313958629,0.004,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified
Otu00083,4,0.301340997,0.01,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
